_id,Action,Short Action,File Name,Formal Stakeholder,Category,Insert Timestamp
68553f1b8ac99dcea18bd118,2.1.5. Support research on economic and societal valuations and non-economic valuations of ecosystem services and benefits and how biodiversity underpins these values,Research biodiversity ecosystem valuation,National Biodiversity Action Plan 2017 - 2021,National Emergency Coordination Group,Government Semi State Agency,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd119,2.1.5. Support research on economic and societal valuations and non-economic valuations of ecosystem services and benefits and how biodiversity underpins these values,Research biodiversity ecosystem valuation,National Biodiversity Action Plan 2017 - 2021,Central Statistics Office,Research and Regulatory,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd11a,2.1.5. Support research on economic and societal valuations and non-economic valuations of ecosystem services and benefits and how biodiversity underpins these values,Research biodiversity ecosystem valuation,National Biodiversity Action Plan 2017 - 2021,Academia and Research Organisations,Research and Regulatory,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd11b,2.1.5. Support research on economic and societal valuations and non-economic valuations of ecosystem services and benefits and how biodiversity underpins these values,Research biodiversity ecosystem valuation,National Biodiversity Action Plan 2017 - 2021,Bord na MÃ³na,Semi-State Agency,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd11c,3.1.1. Engage with local communities and stakeholders to help achieve the objectives of this plan,Engage rural stakeholders in planning,National Biodiversity Action Plan 2017 - 2021,Relevant government departments and agencies,Government of Ireland,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd11d,3.1.1. Engage with local communities and stakeholders to help achieve the objectives of this plan,Engage rural stakeholders in planning,National Biodiversity Action Plan 2017 - 2021,European NGO Confederation for Relief and Development,NGO,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd11e,3.1.1. Engage with local communities and stakeholders to help achieve the objectives of this plan,Engage rural stakeholders in planning,National Biodiversity Action Plan 2017 - 2021,Community Wetlands Forum,NGO,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd11f,3.1.1. Engage with local communities and stakeholders to help achieve the objectives of this plan,Engage rural stakeholders in planning,National Biodiversity Action Plan 2017 - 2021,Sustainable Energy Authority of Ireland,Semi-state agency ,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd120,"Support over 600 towns and villages through an enhanced Town and Village Renewal Scheme, with funding of up to â‚¬12 million per annum, to support their revitalisation, boost their potential to support increased economic activity and improve the living and working environment of rural dwellers.",Support rural town revitalisation,Realising our Rural Potential - Action Plan for Rural Development,"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd121,"Support over 600 towns and villages through an enhanced Town and Village Renewal Scheme, with funding of up to â‚¬12 million per annum, to support their revitalisation, boost their potential to support increased economic activity and improve the living and working environment of rural dwellers.",Support rural town revitalisation,Realising our Rural Potential - Action Plan for Rural Development,Local Authorities,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd122,Implement the GLAS Traditional Farm buildings grant scheme to help in the conservation of traditional farm outbuildings as a support to rural communities.,Conserve traditional farm outbuildings,Realising our Rural Potential - Action Plan for Rural Development,Heritage Council,Semi-State Agency,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd123,Implement the GLAS Traditional Farm buildings grant scheme to help in the conservation of traditional farm outbuildings as a support to rural communities.,Conserve traditional farm outbuildings,Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd124,"Provide funding for Volunteer Centres and Volunteer Information Services, as well as national organisations such as Volunteer Ireland, which aims to strengthen those organisations and foster a culture of volunteering in Ireland, including to the benefit of rural communities and community- based organisations.",Fund rural volunteering infrastructure,Realising our Rural Potential - Action Plan for Rural Development,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd125,"Develop a strategy for the growth and development of the credit union sector, which is an important resource in rural Ireland, and ensure that credit unions benefit from regulatory support, in order to respond to the needs of a changing economy.",Develop credit union support strategy,Realising our Rural Potential - Action Plan for Rural Development,Department of Finance,Department of Finance,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd126,"Plan and resource the Primary Care workforce, including GPs, community nursing and allied health professionals, to address the health and social care needs of the population in rural communities, in conjunction with a wider range of network services.",Resource rural health care workforce,Realising our Rural Potential - Action Plan for Rural Development,Health Service Executive,Department of Health,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd127,"Implement the Framework Policy on Local & Community Development to ensure greater participation of rural communities in the planning, development, delivery and evaluation of policies, strategies and interventions.",Implement community development framework,Realising our Rural Potential - Action Plan for Rural Development,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd128,"Implement the Framework Policy on Local & Community Development to ensure greater participation of rural communities in the planning, development, delivery and evaluation of policies, strategies and interventions.",Implement community development framework,Realising our Rural Potential - Action Plan for Rural Development,Relevant Government Departments and Agencies,Government of Ireland,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd129,"Implement the Framework Policy on Local & Community Development to ensure greater participation of rural communities in the planning, development, delivery and evaluation of policies, strategies and interventions.",Implement community development framework,Realising our Rural Potential - Action Plan for Rural Development,State Agencies and LAs,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd12a,"Through the National Dialogue for Climate Change, ensure that rural communities have a key role in contributing to our transition to a environmentally sustainable, climate resilient, low carbon economy.",Include rural voices in transition,Realising our Rural Potential - Action Plan for Rural Development,"Department of Communications, Climate Action and the Environment","Department of Environment, Climate and Communications",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd12b,"Develop a new and effective rural proofing model which will ensure that rural development issues are considered in the decision-making processes of all Government Departments, State bodies and agencies.",Create rural policy impact model,Realising our Rural Potential - Action Plan for Rural Development,"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd12c,"Develop a new and effective rural proofing model which will ensure that rural development issues are considered in the decision-making processes of all Government Departments, State bodies and agencies.",Create rural policy impact model,Realising our Rural Potential - Action Plan for Rural Development,Department of the Taoiseach,Department of the Taoiseach,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd12d,"Deliver the LEADER measure of the Rural Development Programme 2014-2020, with funding of â‚¬250m to support economic development and job creation, social inclusion and the environment in rural areas.",Deliver LEADER rural development funding,Realising our Rural Potential - Action Plan for Rural Development,"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd12e,"Deliver the LEADER measure of the Rural Development Programme 2014-2020, with funding of â‚¬250m to support economic development and job creation, social inclusion and the environment in rural areas.",Deliver LEADER rural development funding,Realising our Rural Potential - Action Plan for Rural Development,Leader Local Action Groups,NGO,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd12f,"Deliver the LEADER measure of the Rural Development Programme 2014-2020, with funding of â‚¬250m to support economic development and job creation, social inclusion and the environment in rural areas.",Deliver LEADER rural development funding,Realising our Rural Potential - Action Plan for Rural Development,Local Authorities,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd130,"Deliver the LEADER measure of the Rural Development Programme 2014-2020, with funding of â‚¬250m to support economic development and job creation, social inclusion and the environment in rural areas.",Deliver LEADER rural development funding,Realising our Rural Potential - Action Plan for Rural Development,Least Developed Countries,International organisation,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd131,"Deliver the LEADER measure of the Rural Development Programme 2014-2020, with funding of â‚¬250m to support economic development and job creation, social inclusion and the environment in rural areas.",Deliver LEADER rural development funding,Realising our Rural Potential - Action Plan for Rural Development,ÃšdarÃ¡s na Gaeltachta,Government Semi State Agency,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd132,"Invest â‚¬12m in 7 Fisheries Local Action Groups in coastal communities to support a wide range of initiatives targeting job creation, social inclusion, tourism, community regeneration and market development around our coastline.",Fund coastal job creation initiatives,Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd133,"Invest â‚¬37.5m to implement the Social Inclusion and Community Activation Programme, SICAP, as the main social inclusion programme of Government to support 2,800 local community groups, including low income workers and young people not in education, employment or training, and support lifelong and community education opportunities for disadvantaged communities and individuals.",Support disadvantaged rural communities,Realising our Rural Potential - Action Plan for Rural Development,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd134,"Invest â‚¬37.5m to implement the Social Inclusion and Community Activation Programme, SICAP, as the main social inclusion programme of Government to support 2,800 local community groups, including low income workers and young people not in education, employment or training, and support lifelong and community education opportunities for disadvantaged communities and individuals.",Support disadvantaged rural communities,Realising our Rural Potential - Action Plan for Rural Development,Local Authorities,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd135,"Invest â‚¬37.5m to implement the Social Inclusion and Community Activation Programme, SICAP, as the main social inclusion programme of Government to support 2,800 local community groups, including low income workers and young people not in education, employment or training, and support lifelong and community education opportunities for disadvantaged communities and individuals.",Support disadvantaged rural communities,Realising our Rural Potential - Action Plan for Rural Development,Pobal,NGO,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd136,"Invest â‚¬37.5m to implement the Social Inclusion and Community Activation Programme, SICAP, as the main social inclusion programme of Government to support 2,800 local community groups, including low income workers and young people not in education, employment or training, and support lifelong and community education opportunities for disadvantaged communities and individuals.",Support disadvantaged rural communities,Realising our Rural Potential - Action Plan for Rural Development,Local Community Development Committees,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd137,Provide 500 additional places on the Rural Social Scheme which employs the skills of farmers and fishermen to provide services which benefit rural communities.,Expand Rural Social Scheme places,Realising our Rural Potential - Action Plan for Rural Development,Dublin Society for Prevention of Cruelty to Animals,NGO,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd138,Provide 500 additional places on the Rural Social Scheme which employs the skills of farmers and fishermen to provide services which benefit rural communities.,Expand Rural Social Scheme places,Realising our Rural Potential - Action Plan for Rural Development,ÃšdarÃ¡s na Gaeltachta,Government Semi State Agency,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd139,"Continue the implementation of supports for Social Farming which offers, on a voluntary basis, farming and horticultural participation to people who avail of a range of therapeutic day support services.",Support voluntary therapeutic farming,Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd13a,"Through the Better Energy Homes Scheme, provide over â‚¬300m in grants to householders to improve the energy efficiency of their homes, while supporting over 2,000 jobs and helping make approximately 46,500 rural homes more environmentally sustainable.",Fund rural home energy upgrades,Realising our Rural Potential - Action Plan for Rural Development,"Department of Communications, Climate Action and the Environment","Department of Environment, Climate and Communications",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd13b,"Through the Better Energy Homes Scheme, provide over â‚¬300m in grants to householders to improve the energy efficiency of their homes, while supporting over 2,000 jobs and helping make approximately 46,500 rural homes more environmentally sustainable.",Fund rural home energy upgrades,Realising our Rural Potential - Action Plan for Rural Development,Sustainable Energy Authority of Ireland,Semi-state agency ,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd13c,"Through the Better Energy Warmer Homes scheme, deliver approximately 15,500 energy efficiency upgrades to people living in energy poverty in rural areas, while also boosting regional employment and helping make rural homes more environmentally sustainable.",Deliver rural energy poverty upgrades,Realising our Rural Potential - Action Plan for Rural Development,"Department of Communications, Climate Action and the Environment","Department of Environment, Climate and Communications",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd13d,"Through the Better Energy Warmer Homes scheme, deliver approximately 15,500 energy efficiency upgrades to people living in energy poverty in rural areas, while also boosting regional employment and helping make rural homes more environmentally sustainable.",Deliver rural energy poverty upgrades,Realising our Rural Potential - Action Plan for Rural Development,Sustainable Energy Authority of Ireland,Semi-state agency ,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd13e,Introduce a new Community CCTV Grant Aid Scheme which will benefit both urban and rural communities.,Introduce community CCTV funding scheme,Realising our Rural Potential - Action Plan for Rural Development,"Department of Jobs, Enterprise and Innovation","Department of Jobs, Enterprise and Innovation",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd13f,"Rollout the new Community Facilities Fund, announced in Budget 2017, which will invest over â‚¬2m in rural and urban areas, to enhance communities, address disadvantage and improve social cohesion at local level.",Fund community facility enhancements,Realising our Rural Potential - Action Plan for Rural Development,Irish Farmers' Association,Trade Association,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd140,"Rollout the new Community Facilities Fund, announced in Budget 2017, which will invest over â‚¬2m in rural and urban areas, to enhance communities, address disadvantage and improve social cohesion at local level.",Fund community facility enhancements,Realising our Rural Potential - Action Plan for Rural Development,Local Authorities,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd141,"Rollout the new Community Facilities Fund, announced in Budget 2017, which will invest over â‚¬2m in rural and urban areas, to enhance communities, address disadvantage and improve social cohesion at local level.",Fund community facility enhancements,Realising our Rural Potential - Action Plan for Rural Development,Local Community Development Committees,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd142,Invest â‚¬30m in sports and community facilities around the country through the Sports Capital Programme.,Fund rural sports infrastructure,Realising our Rural Potential - Action Plan for Rural Development,"Department of Transport, Tourism and Sport","Department of Transport, Tourism and Sport",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd143,"Support the sustainability of 450 Menâ€™s Sheds across rural Ireland which provide a safe space where men can gather and participate in their communities, develop social networks and potentially gain new skills and access information.",Sustain rural Men’s Shed spaces,Realising our Rural Potential - Action Plan for Rural Development,Irish Menâ€™s Shed Association,NGO,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd144,"Support the sustainability of 450 Menâ€™s Sheds across rural Ireland which provide a safe space where men can gather and participate in their communities, develop social networks and potentially gain new skills and access information.",Sustain rural Men’s Shed spaces,Realising our Rural Potential - Action Plan for Rural Development,Health Service Executive,Department of Health,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd145,Implement eight regional Action Plans for Jobs to facilitate each region to achieve its economic potential and raise its employment levels and monitor the impact of these Plans on rural Ireland.,Implement regional job creation plans,Realising our Rural Potential - Action Plan for Rural Development,"Department of Jobs, Enterprise and Innovation","Department of Jobs, Enterprise and Innovation",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd146,Provide investment of up to â‚¬50m over the period to 2020 to support collaborative approaches to boost enterprise and job creation across the regions. This competitive funding is aimed at accelerating economic recovery in every part of the country by delivering on the potential of local and regional strengths.,Fund regional enterprise collaboration,Realising our Rural Potential - Action Plan for Rural Development,Enterprise Ireland,"Department of Business, Employment and Retail",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd147,"Support the creation of 500 new jobs per annum and continue to maintain existing jobs in ÃšdarÃ¡s na Gaeltachta client companies in the Gaeltacht, including through supports for post-research and pre-commercialisation units in the life sciences, food and business support services and creative enterprise sectors, as well as for community development initiatives.",Support Gaeltacht enterprise job growth,Realising our Rural Potential - Action Plan for Rural Development,ÃšdarÃ¡s na Gaeltachta,Government Semi State Agency,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd148,Determine the feasibility of enabling Local Authorities to introduce rates alleviation schemes to support rural development policy objectives.,Explore rural rates support options,Realising our Rural Potential - Action Plan for Rural Development,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd149,Determine the feasibility of enabling Local Authorities to introduce rates alleviation schemes to support rural development policy objectives.,Explore rural rates support options,Realising our Rural Potential - Action Plan for Rural Development,"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd14a,"Develop and launch a new www.ruralireland.ie website which will act as a central portal to provide information on relevant supports, and showcase best practice examples of rural development.",Launch central rural support website,Realising our Rural Potential - Action Plan for Rural Development,"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd14b,"Conduct a review of the REDZ initiative to measure its impact on rural communities, and to support the development of future calls for projects under the scheme.",Review REDZ impact and planning,Realising our Rural Potential - Action Plan for Rural Development,"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd14c,"Through the Social Inclusion and Community Activation Programme (SICAP), support the establishment and development of social enterprises in rural areas.",Support rural social enterprise growth,Realising our Rural Potential - Action Plan for Rural Development,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd14d,"Through the Social Inclusion and Community Activation Programme (SICAP), support the establishment and development of social enterprises in rural areas.",Support rural social enterprise growth,Realising our Rural Potential - Action Plan for Rural Development,Pobal,NGO,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd14e,"Through the Social Inclusion and Community Activation Programme (SICAP), support the establishment and development of social enterprises in rural areas.",Support rural social enterprise growth,Realising our Rural Potential - Action Plan for Rural Development,Local Authorities,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd14f,"Through the Social Inclusion and Community Activation Programme (SICAP), support the establishment and development of social enterprises in rural areas.",Support rural social enterprise growth,Realising our Rural Potential - Action Plan for Rural Development,Local Community Development Committees,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd150,Create a Renewable Electricity Support Scheme (RESS) designed to encourage investment in renewable electricity generation in a cost effective manner and help support economic growth and job creation in rural Ireland.,Launch renewable electricity investment,Realising our Rural Potential - Action Plan for Rural Development,"Department of Communications, Climate Action and the Environment","Department of Environment, Climate and Communications",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd151,Create a Renewable Heat Incentive (RHI) support scheme which will help stimulate demand for biomass and support economic growth and jobs in rural Ireland.,Launch renewable electricity investment,Realising our Rural Potential - Action Plan for Rural Development,"Department of Communications, Climate Action and the Environment","Department of Environment, Climate and Communications",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd152,Improve knowledge transfer and exchange to farmers by developing a network across all State agencies and relevant advisory bodies to deliver clear advice on how farmers can adopt sustainable practices that deliver both environmental and economic benefits.,Train farmers in sustainable practices,Realising our Rural Potential - Action Plan for Rural Development,Teagasc The Agriculture and Food Development Authority,Semi-state agency,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd153,Improve knowledge transfer and exchange to farmers by developing a network across all State agencies and relevant advisory bodies to deliver clear advice on how farmers can adopt sustainable practices that deliver both environmental and economic benefits.,Train farmers in sustainable practices,Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd154,Improve knowledge transfer and exchange to farmers by developing a network across all State agencies and relevant advisory bodies to deliver clear advice on how farmers can adopt sustainable practices that deliver both environmental and economic benefits.,Train farmers in sustainable practices,Realising our Rural Potential - Action Plan for Rural Development,Bord Bia The Irish Food Board,"Branding, Marketing and Distribution",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd155,"Through the Dormant Account Funds, support disadvantaged groups in rural and urban communities through measures that assist their access to employment.",Fund rural disadvantaged employment access,Realising our Rural Potential - Action Plan for Rural Development,"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd156,"Maintain the provision of schemes such as the Rural Social Scheme, Community Employment, Back To Education Allowance and TÃºs in rural communities and the Gaeltacht, having regard to the declining numbers on the Live Register and the need to ensure that these schemes are targeted to the needs of jobseekers and others.",Maintain existing rural support schemes,Realising our Rural Potential - Action Plan for Rural Development,Dublin Society for Prevention of Cruelty to Animals,NGO,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd157,"Maintain the provision of schemes such as the Rural Social Scheme, Community Employment, Back To Education Allowance and TÃºs in rural communities and the Gaeltacht, having regard to the declining numbers on the Live Register and the need to ensure that these schemes are targeted to the needs of jobseekers and others.",Maintain existing rural support schemes,Realising our Rural Potential - Action Plan for Rural Development,ÃšdarÃ¡s na Gaeltachta,Government Semi State Agency,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd158,Support on-farm investment through the Rural Development Programme (RDP) (2014-2020) and national funding to improve competitiveness and sustainability.,Fund competitive rural farm investment,Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd159,"Through the Inter-Agency Group on Outdoor Recreation, develop a Public Outdoor Recreation Amenities Plan (PORA) to transform the provision of outdoor recreation facilities and services on public-owned land and waterways over the next five years which will add a potential â‚¬142 million of economic activity per year across rural Ireland.",Develop outdoor recreation infrastructure,Realising our Rural Potential - Action Plan for Rural Development,"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs",2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd15a,"Through the Inter-Agency Group on Outdoor Recreation, develop a Public Outdoor Recreation Amenities Plan (PORA) to transform the provision of outdoor recreation facilities and services on public-owned land and waterways over the next five years which will add a potential â‚¬142 million of economic activity per year across rural Ireland.",Develop outdoor recreation infrastructure,Realising our Rural Potential - Action Plan for Rural Development,Coillte,Semi-State Agency,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd15b,"Through the Inter-Agency Group on Outdoor Recreation, develop a Public Outdoor Recreation Amenities Plan (PORA) to transform the provision of outdoor recreation facilities and services on public-owned land and waterways over the next five years which will add a potential â‚¬142 million of economic activity per year across rural Ireland.",Develop outdoor recreation infrastructure,Realising our Rural Potential - Action Plan for Rural Development,Office of Public Works,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd15c,"Through the Inter-Agency Group on Outdoor Recreation, develop a Public Outdoor Recreation Amenities Plan (PORA) to transform the provision of outdoor recreation facilities and services on public-owned land and waterways over the next five years which will add a potential â‚¬142 million of economic activity per year across rural Ireland.",Develop outdoor recreation infrastructure,Realising our Rural Potential - Action Plan for Rural Development,Waterways Ireland,Semi-state agency,2025-06-20T11:59:18.033Z
68553f1b8ac99dcea18bd15d,"Through the Inter-Agency Group on Outdoor Recreation, develop a Public Outdoor Recreation Amenities Plan (PORA) to transform the provision of outdoor recreation facilities and services on public-owned land and waterways over the next five years which will add a potential â‚¬142 million of economic activity per year across rural Ireland.",Develop outdoor recreation infrastructure,Realising our Rural Potential - Action Plan for Rural Development,Bord na MÃ³na,Semi-State Agency,2025-06-20T11:59:18.033Z
