_id,Document Name,Author,Year,Primary Stakeholder,Primary Category,Primary Labels,Secondary Stakeholder,Secondary Category,Secondary Labels,Context,Tag,prinorm,secnorm,source,Insert Datetime
685d9f7157f9330c86278053,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,Irish Cattle Breeding Federation,Research and Regulatory,Research and Regulatory 050,Teagasc and the Irish Cattle Breeding Federation cooperate closely on the Beef Data and Genomics Programme to improve cattle productivity and reduce greenhouse gas emissions.,Collaboration,semistateagency012,researchandregulatory050,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278054,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,Irish Cattle Breeding Federation,Research and Regulatory,Research and Regulatory 050,Teagasc and the Irish Cattle Breeding Federation cooperate closely on the Beef Data and Genomics Programme to improve cattle productivity and reduce greenhouse gas emissions.,Collaboration,semistateagency012,researchandregulatory050,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278055,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Bord Bia The Irish Food Board,"Branding, Marketing and Distribution","Branding, Marketing and Distribution 001",Irish Dairy Sector,Trade Association,Trade Association 012,"Bord Bia highlights the efficiency of the Irish dairy sector, noting that over 90% of its products are exported globally due to Ireland's favorable grass-based production model.",Supports,"branding,marketinganddistribution001",tradeassociation012,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278056,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Bord Bia The Irish Food Board,"Branding, Marketing and Distribution","Branding, Marketing and Distribution 001",Irish Dairy Sector,Trade Association,Trade Association 012,"Bord Bia highlights the efficiency of the Irish dairy sector, noting that over 90% of its products are exported globally due to Ireland's favorable grass-based production model.",Supports,"branding,marketinganddistribution001",tradeassociation012,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278057,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278058,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278059,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627805a,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627805b,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627805c,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627805d,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627805e,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627805f,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",National Council of the Irish Cattle and Sheep Farmers’ Association,Trade Association,Trade Association 021,"The Department of Agriculture, Food and the Marine engaged in discussions with the ICSA Irish Cattle and Sheep Farmers’ Association regarding agricultural matters.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation021,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278060,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",National Council of the Irish Cattle and Sheep Farmers’ Association,Trade Association,Trade Association 021,"The Department of Agriculture, Food and the Marine engaged in discussions with the ICSA Irish Cattle and Sheep Farmers’ Association regarding agricultural matters.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation021,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278061,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",National Council of the Irish Cattle and Sheep Farmers’ Association,Trade Association,Trade Association 021,"The Department of Agriculture, Food and the Marine engaged in discussions with the ICSA Irish Cattle and Sheep Farmers’ Association regarding agricultural matters.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation021,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278062,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",National Council of the Irish Cattle and Sheep Farmers’ Association,Trade Association,Trade Association 021,"The Department of Agriculture, Food and the Marine engaged in discussions with the ICSA Irish Cattle and Sheep Farmers’ Association regarding agricultural matters.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation021,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278063,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Farmers' Association,Trade Association,Trade Association 013,"Discussion with representatives from the Irish Farmers’ Association occurred on 13 February 2018 alongside officials from the Department of Agriculture, Food and the Marine.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation013,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278064,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Farmers' Association,Trade Association,Trade Association 013,"Discussion with representatives from the Irish Farmers’ Association occurred on 13 February 2018 alongside officials from the Department of Agriculture, Food and the Marine.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation013,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278065,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Farmers' Association,Trade Association,Trade Association 013,"Discussion with representatives from the Irish Farmers’ Association occurred on 13 February 2018 alongside officials from the Department of Agriculture, Food and the Marine.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation013,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278066,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Farmers' Association,Trade Association,Trade Association 013,"Discussion with representatives from the Irish Farmers’ Association occurred on 13 February 2018 alongside officials from the Department of Agriculture, Food and the Marine.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation013,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278067,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Natura and Hill Farmers Association,Trade Association,Trade Association 015,"Discussion involving the Department of Agriculture, Food and the Marine and representatives from the INHFA Irish Natura and Hill Farmers Association.",Collaborates,"departmentofagriculture,foodandthemarine004",tradeassociation015,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278068,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Natura and Hill Farmers Association,Trade Association,Trade Association 015,"Discussion involving the Department of Agriculture, Food and the Marine and representatives from the INHFA Irish Natura and Hill Farmers Association.",Collaborates,"departmentofagriculture,foodandthemarine004",tradeassociation015,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278069,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Natura and Hill Farmers Association,Trade Association,Trade Association 015,"Discussion involving the Department of Agriculture, Food and the Marine and representatives from the INHFA Irish Natura and Hill Farmers Association.",Collaborates,"departmentofagriculture,foodandthemarine004",tradeassociation015,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627806a,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Natura and Hill Farmers Association,Trade Association,Trade Association 015,"Discussion involving the Department of Agriculture, Food and the Marine and representatives from the INHFA Irish Natura and Hill Farmers Association.",Collaborates,"departmentofagriculture,foodandthemarine004",tradeassociation015,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627806b,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Organic Farmers and Growers Association,Trade Association,Trade Association 017,"The Department of Agriculture, Food and the Marine engaged in discussions with the IOFGA Irish Organic Farmers and Growers Association regarding agricultural practices.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation017,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627806c,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Organic Farmers and Growers Association,Trade Association,Trade Association 017,"The Department of Agriculture, Food and the Marine engaged in discussions with the IOFGA Irish Organic Farmers and Growers Association regarding agricultural practices.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation017,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627806d,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Organic Farmers and Growers Association,Trade Association,Trade Association 017,"The Department of Agriculture, Food and the Marine engaged in discussions with the IOFGA Irish Organic Farmers and Growers Association regarding agricultural practices.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation017,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627806e,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Irish Organic Farmers and Growers Association,Trade Association,Trade Association 017,"The Department of Agriculture, Food and the Marine engaged in discussions with the IOFGA Irish Organic Farmers and Growers Association regarding agricultural practices.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation017,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627806f,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine engaged in discussions with Dairy Industry Ireland regarding agricultural and environmental matters.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278070,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine engaged in discussions with Dairy Industry Ireland regarding agricultural and environmental matters.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278071,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine engaged in discussions with Dairy Industry Ireland regarding agricultural and environmental matters.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278072,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Dairy Industry Ireland,Trade Association,Trade Association 005,"The Department of Agriculture, Food and the Marine engaged in discussions with Dairy Industry Ireland regarding agricultural and environmental matters.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation005,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278073,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Meat Industry Ireland,Trade Association,Trade Association 019,"Discussion between the Department of Agriculture, Food and the Marine and representatives from Meat Industry Ireland on 20 February 2018.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation019,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278074,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Meat Industry Ireland,Trade Association,Trade Association 019,"Discussion between the Department of Agriculture, Food and the Marine and representatives from Meat Industry Ireland on 20 February 2018.",Collaboration,"departmentofagriculture,foodandthemarine004",tradeassociation019,Publications,2025-06-26T20:28:49.496Z
