_id,RECOMMENDATION,Short Recommendation,Action,Short Action,Formal Stakeholder,Category,Labels,norm,topic,source,Insert Datetime,Stakeholder
685d9e5a57f9330c86277903,Measurement of Ireland’s environmental sustainability credentials,Measure environmental sustainability metrics,"Continue to enhance and roll out at farm level the Carbon Navigator Initiative which provides online software to assist farmers in understanding how their farms produce GHG emissions, identify mitigation capacity and to set targets and a pathway to reduce emissions. Teagasc in conjunction with other stakeholders to examine whether the navigator tool could be used to measure other important environmental parameters such as biodiversity",Enhance and expand Carbon Navigator,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277904,Develop and support Agri-food processing sector in delivering sustainable processes and outputs,Support sustainable agri-food processing,"As part of the Europe 2020 strategy, BIM will introduce schemes in compliance with the EMFF to support investments in equipment or in fishing or aquaculture vessels aimed at reducing the emission of pollutants or GHG and/or increasing energy efficiency. This may include support for the modernisation and replacement of fleet engines.",Introduce schemes for vessel efficiency,Bord Iascaigh Mhara,Semi-state agency,Semi-state agency 002,semistateagency002,carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277905,Implementation of Environmental Elements of Ireland’s National Programmes and the EU co-funded Rural Development Programme 2014-2020,Implement environmental programme elements,"Uptake of GLAS should be maximised to help enhance the natural environment through, inter alia, retaining carbon stocks in the soil, margins/habitat preservation and improving water quality to ensure compliance with the Water Framework Directive. Uptake on other RDP initiatives such as, organic farming, priority freshwater pearl mussel catchment sites and the Burren farming for conservation project should also be maximised as separate key RDP enabling instruments to achieve environmental objectives.",Maximise uptake of green schemes,"Green, Lowcarbon, Agrienvironment Scheme","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 005","departmentofagriculture,foodandthemarine005",carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277906,Implementation of Environmental Elements of Ireland’s National Programmes and the EU co-funded Rural Development Programme 2014-2020,Implement environmental programme elements,"Uptake of GLAS should be maximised to help enhance the natural environment through, inter alia, retaining carbon stocks in the soil, margins/habitat preservation and improving water quality to ensure compliance with the Water Framework Directive. Uptake on other RDP initiatives such as, organic farming, priority freshwater pearl mussel catchment sites and the Burren farming for conservation project should also be maximised as separate key RDP enabling instruments to achieve environmental objectives.",Maximise uptake of green schemes,Rural Development Programme,Department Of Rural And Community Development,Department of Rural and Community Development 002,departmentofruralandcommunitydevelopment002,carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277907,Beef,Beef,"Leverage the benefits of the recent adoption of genomics technology in the beef sector to improve the genetic quality of the national breeding herd though inter alia, maximising participation in the Beef Data and Genomics Programme, to help lower emissions and improve farm competiveness",Leverage genomics to improve herd,Beef Data And Genomics Programme,Research And Regulatory,Research and Regulatory 016,researchandregulatory016,carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277908,Sheep,Sheep,"Develop strong reputation for quality and environmental sustainability of Irish beef with customers, competent authorities in target markets and NGOs building on the Sustainable Beef and Lamb Assurance Scheme (Origin Green) and optimise the use of this brand reputation in the market place",Promote sustainable Irish beef brand,Sustainable Beef And Lamb Assurance Scheme,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 008","departmentofagriculture,foodandthemarine008",carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277909,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM to continue close cooperation with Department of Environment, Community and Local Government (DECLG) and the EPA on the delivery of the Water Framework Directive, in particular on development of the second phase River Basin Management Plans.",Cooperate on River Basin Plans,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627790a,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM to continue close cooperation with Department of Environment, Community and Local Government (DECLG) and the EPA on the delivery of the Water Framework Directive, in particular on development of the second phase River Basin Management Plans.",Cooperate on River Basin Plans,"Department Of Environment, Climate And Communications","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 004","departmentofenvironment,climateandcommunications004",water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627790b,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM to continue close cooperation with Department of Environment, Community and Local Government (DECLG) and the EPA on the delivery of the Water Framework Directive, in particular on development of the second phase River Basin Management Plans.",Cooperate on River Basin Plans,"Department Of The Environment, Community And Local Government","Department of Environment, Climate and Communications","Department of the Environment, Community and Local Government 001","departmentoftheenvironment,communityandlocalgovernment001",water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627790c,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM to continue close cooperation with Department of Environment, Community and Local Government (DECLG) and the EPA on the delivery of the Water Framework Directive, in particular on development of the second phase River Basin Management Plans.",Cooperate on River Basin Plans,Environmental Protection Agency,State Agencies ,State Agencies  001,stateagencies001,water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627790d,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"Teagasc to develop and rollout a Nutrient Management software tool to enhance cost-effective use of feed, fertiliser and slurry to minimise nitrogen (nitrate, ammonia and nitrous oxide) and phosphorus losses.",Develop nutrient management software tool,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627790e,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,Teagasc to develop soil specific advice for both organic and inorganic manure use to take account of mineralisation across soils to help inform optimal fertiliser application rates and timing.,Develop soil-specific fertiliser advice,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627790f,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,Teagasc to carry out a soil nutrient census to track soil fertility trends.,Conduct soil nutrient census,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277910,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM to work closely with responsible agencies to monitor potential localised/regionalised impacts of dairy herd expansion on water quality and to develop mitigation measures, in conjunction with the scientific findings from the Agricultural Catchments Programme.",Monitor dairy impacts and mitigate,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277911,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,Teagasc to enhance PastureBase Ireland tool as a resource to help improve grassland and nitrogen management and increase grass utilisation.,Enhance PastureBase for grass use,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277912,Implementation of Environmental Elements of Ireland’s National Programmes and the EU co-funded Rural Development Programme 2014-2027,Implement environmental programme measures,"In relation to the LIFE programme, DAFM will maintain close contact with DECLG, DAHG and other relevant stakeholders to ensure that any biodiversity, climate or water quality actions are appropriately targeted and implemented",Coordinate biodiversity and climate actions,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277913,Implementation of Environmental Elements of Ireland’s National Programmes and the EU co-funded Rural Development Programme 2014-2027,Implement environmental programme measures,"In relation to the LIFE programme, DAFM will maintain close contact with DECLG, DAHG and other relevant stakeholders to ensure that any biodiversity, climate or water quality actions are appropriately targeted and implemented",Coordinate biodiversity and climate actions,"Department Of The Environment, Community And Local Government","Department of Environment, Climate and Communications","Department of the Environment, Community and Local Government 001","departmentoftheenvironment,communityandlocalgovernment001",water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277914,Implementation of Environmental Elements of Ireland’s National Programmes and the EU co-funded Rural Development Programme 2014-2027,Implement environmental programme measures,"In relation to the LIFE programme, DAFM will maintain close contact with DECLG, DAHG and other relevant stakeholders to ensure that any biodiversity, climate or water quality actions are appropriately targeted and implemented",Coordinate biodiversity and climate actions,"Department Of Arts, Heritage, Regional, Rural And Gaeltacht Affairs","Department Of Arts, Heritage, Regional, Rural And Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs 001","departmentofarts,heritage,regional,ruralandgaeltachtaffairs001",water,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277915,Measurement of Irelandâ€™s environmental sustainability credentials,Measurement of Irelandâ€™s environmental sustainability credentials,"Bord Bia to further develop the range and depth of sustainability information collected for beef, dairy and other primary agricultural sectors using its auditing infrastructure",Develop sustainability data collection system,Irish Farmers' Association,Trade Association,Trade Association 013,tradeassociation013,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277916,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,DAFM to work closely with all stakeholders to ensure that the scientific findings from the Agricultural Catchments Programme are integrated fully and appropriately into agri-environmental policies.,Integrate findings into policy framework,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277917,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM, SFPA and Industry to develop a suite of measures to promote changed behaviour which will minimise juvenile catch and protect vulnerable stocks.",Develop measures to reduce bycatch,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277918,Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM, SFPA and Industry to develop a suite of measures to promote changed behaviour which will minimise juvenile catch and protect vulnerable stocks.",Develop measures to reduce bycatch,Seafisheries Protection Authority,Research And Regulatory,Research and Regulatory 074,researchandregulatory074,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277919,Develop and support Agri-food processing sector in delivering sustainable processes and outputs,Support sustainable agri-food processing,"Enterprise Ireland to invest in in-company innovation processes, R&D and NPD development programmes, and to support the human and capital infrastructure requirements of that absorptive capacity.",Invest in innovation and infrastructure,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003","departmentofbusiness,employmentandretail003",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627791a,Develop and support Agri-food processing sector in delivering sustainable processes and outputs,Support sustainable agri-food processing,Horizon 2020 is a key source of vital funding and scientific benchmarking for Irish researchers and companies. EI with DAFM to increase the level of participation of Irish companies in the programme.,Increase Horizon 2020 participation levels,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003","departmentofbusiness,employmentandretail003",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627791b,Develop and support Agri-food processing sector in delivering sustainable processes and outputs,Support sustainable agri-food processing,Horizon 2020 is a key source of vital funding and scientific benchmarking for Irish researchers and companies. EI with DAFM to increase the level of participation of Irish companies in the programme.,Increase Horizon 2020 participation levels,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627791c,Education Programmes,Education Programmes,"A review of existing level 5 and 6 further education awards and curricula in agriculture and associated curricula should be undertaken. Teagasc will undertake this review under the auspices of Quality and Qualifications Ireland (QQI), in consultation with a wide body of stakeholders to ensure that they are both fit-for-purpose and to future proof them in terms of emerging industry needs.",Review Level 5/6 agricultural curricula,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627791d,Education Programmes,Education Programmes,"A review of existing level 5 and 6 further education awards and curricula in agriculture and associated curricula should be undertaken. Teagasc will undertake this review under the auspices of Quality and Qualifications Ireland (QQI), in consultation with a wide body of stakeholders to ensure that they are both fit-for-purpose and to future proof them in terms of emerging industry needs.",Review Level 5/6 agricultural curricula,Quality And Qualifications Ireland,State Agencies And Local Authorities,State Agencies and Local Authorities 015,stateagenciesandlocalauthorities015,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627791e,Education Programmes,Education Programmes,Teagasc to seek delegated authority to make education awards as part of new Quality and Qualifications Ireland (QQI) structure. This would allow more flexible and responsive development of future agricultural education programmes.,Seek authority for education awards,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627791f,Education Programmes,Education Programmes,Teagasc to seek delegated authority to make education awards as part of new Quality and Qualifications Ireland (QQI) structure. This would allow more flexible and responsive development of future agricultural education programmes.,Seek authority for education awards,Quality And Qualifications Ireland,State Agencies And Local Authorities,State Agencies and Local Authorities 015,stateagenciesandlocalauthorities015,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277920,Education Programmes,Education Programmes,"Teagasc to continue to calibrate its education function to match the needs of industry, for example through the development and introduction of customised short training programmes along the lines of the recently introduced milking skills training for operatives.",Calibrate education to industry needs,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277921,Education Programmes,Education Programmes,Increase enrolments in Level 6 Advanced Dairy Programme and Professional Diploma in Dairy Farm Management and seek to fast track entry to the latter in association with UCD.,Increase enrolment in dairy programmes,University College Dublin,Research And Regulatory,Research and Regulatory 092,researchandregulatory092,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277922,Knowledge Transfer,Knowledge Transfer,Teagasc to prioritise the development of a new Dairy Expansion Service to deliver one to one services to support dairy farm businesses in planning and monitoring their dairy expansion operations.,Develop Dairy Expansion Service support,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277923,Knowledge Transfer,Knowledge Transfer,Implement a third phase of the Teagasc/Farmers Journal BETTER Farm Beef Programme with an emphasis on transferring best practice in management and breeding to the maximum number of farms.,Implement phase three BETTER programme,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277924,Knowledge Transfer,Knowledge Transfer,"Teagasc to continue to develop its â€˜Options Plusâ€™ programme for improving off-farm income generation of farmers and to link farm families with the variety of learning opportunities provided by other agencies including the ETBs, LEOs, LDCs, third level institutions and Social Welfare including the development of a communication tool which contains a calendar of skills training opportunities on a regional basis.",Expand ‘Options Plus’ income programme,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277925,Knowledge Transfer,Knowledge Transfer,"Teagasc to continue to develop its â€˜Options Plusâ€™ programme for improving off-farm income generation of farmers and to link farm families with the variety of learning opportunities provided by other agencies including the ETBs, LEOs, LDCs, third level institutions and Social Welfare including the development of a communication tool which contains a calendar of skills training opportunities on a regional basis.",Expand ‘Options Plus’ income programme,Education And Training Boards,Research And Regulatory,Research and Regulatory 030,researchandregulatory030,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277926,Knowledge Transfer,Knowledge Transfer,"Teagasc to continue to develop its â€˜Options Plusâ€™ programme for improving off-farm income generation of farmers and to link farm families with the variety of learning opportunities provided by other agencies including the ETBs, LEOs, LDCs, third level institutions and Social Welfare including the development of a communication tool which contains a calendar of skills training opportunities on a regional basis.",Expand ‘Options Plus’ income programme,Local Enterprise Offices,State Agencies And Local Authorities,State Agencies and Local Authorities 007,stateagenciesandlocalauthorities007,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277927,Knowledge Transfer,Knowledge Transfer,"Teagasc to continue to develop its â€˜Options Plusâ€™ programme for improving off-farm income generation of farmers and to link farm families with the variety of learning opportunities provided by other agencies including the ETBs, LEOs, LDCs, third level institutions and Social Welfare including the development of a communication tool which contains a calendar of skills training opportunities on a regional basis.",Expand ‘Options Plus’ income programme,Least Developed Countries,International Organisation,International organisation 015,internationalorganisation015,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277928,Knowledge Transfer,Knowledge Transfer,Teagasc to establish a pig farm manager course.,Expand ‘Options Plus’ income programme,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277929,Knowledge Transfer,Knowledge Transfer,"Consider the development of a Poultry advisory and research service, in partnership with industry to support poultry farm management.",Develop poultry advisory and research,Irish Farmers' Association,Trade Association,Trade Association 013,tradeassociation013,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627792a,Knowledge Transfer,Knowledge Transfer,Enhance hill farming systems by promoting greater integration with lowlands sheep producers through the formation of joint hill/lowland knowledge transfer groups.,Promote hill-lowland farming integration,Irish Natura And Hill Farmers Association,Trade Association,Trade Association 015,tradeassociation015,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627792b,Knowledge Transfer,Knowledge Transfer,Enhance hill farming systems by promoting greater integration with lowlands sheep producers through the formation of joint hill/lowland knowledge transfer groups.,Promote hill-lowland farming integration,Irish Farmers' Association,Trade Association,Trade Association 013,tradeassociation013,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627792c,Knowledge Transfer,Knowledge Transfer,Enhance hill farming systems by promoting greater integration with lowlands sheep producers through the formation of joint hill/lowland knowledge transfer groups.,Promote hill-lowland farming integration,National Hill Farmers Association,Trade Association,Trade Association 023,tradeassociation023,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627792d,Knowledge Transfer,Knowledge Transfer,Establish knowledge transfer groups for malting barley growers,Create barley knowledge transfer groups,Irish Farmers' Association,Trade Association,Trade Association 013,tradeassociation013,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627792e,Knowledge Transfer,Knowledge Transfer,Teagasc to develop a Technology Outreach Service to support rural-based agri_x0002_professionals in delivering services to farmers.,Develop rural agri-professional support,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c8627792f,Knowledge Transfer,Knowledge Transfer,"DAFM, through its research funding programmes (Stimulus, FIRM and CoFoRD), to continue to support the development of the new thought and technology leaders for the agri-food sector through supporting agri-food Masters and PhD students on suitable scientific and impactful research projects",Support research leadership development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277930,Knowledge Transfer,Knowledge Transfer,The DAFM funded Agri-Food Graduate Development Programme to be used as a platform to develop a model to deliver continuous professional development to graduates in agri-food companies through short themed modular courses and work placed Masters and PhD programmes.,Deliver graduate professional development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277931,Knowledge Transfer,Knowledge Transfer,"To ensure food clients have the essential capabilities and capacity in place to support ambitious international growth strategies Enterprise Ireland will continue to develop customised management programmes around key themes of Leadership and Management Development, Operational and Manufacturing development capacity, International Sales and Marketing, Innovation and Entrepreneur Development, to inspire ambitious business leaders and equip them with the tools and techniques to grow their businesses. These programmes include Leadership for Growth, Innovation for Growth, Platform for Growth, Business Processing Offer, Foodworks and Competitiveness Improvement Programme.",Develop customised management training,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003","departmentofbusiness,employmentandretail003",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277932,Knowledge Transfer,Knowledge Transfer,Enterprise Ireland to develop a portfolio of business-focused executive development programmes in partnership with the third level sector which include a focus on building specialist business and leadership capability at middle_x0002_management level in order to support the development and retention of future leaders within the agri-food sector.,Build executive business development programmes,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003","departmentofbusiness,employmentandretail003",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277933,Knowledge Transfer,Knowledge Transfer,Enterprise Ireland to develop Leadership for Growth (L4G) Alumni Master Classes that are tailored to address the need of clients.,Develop L4G alumni masterclasses,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003","departmentofbusiness,employmentandretail003",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277934,Knowledge Transfer,Knowledge Transfer,Enterprise Ireland will promote and develop Gradhubâ€™s Graduate Business Growth Initiative (Graduate Placement) to assist indigenous food and drink SMEs to scale and grow their businesses through the introduction of graduate talent.,Expand graduate SME placement scheme,Enterprise Ireland,"Department Of Business, Employment And Retail","Department of Business, Employment and Retail 003","departmentofbusiness,employmentandretail003",live,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277935,Knowledge Transfer,Knowledge Transfer,Enterprise Ireland will promote and develop Gradhubâ€™s Graduate Business Growth Initiative (Graduate Placement) to assist indigenous food and drink SMEs to scale and grow their businesses through the introduction of graduate talent.,Expand graduate SME placement scheme,Irish Farmers' Association,Trade Association,Trade Association 013,tradeassociation013,live,Food Wise,2025-06-26T20:24:10.811Z,
