MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 2,"Examine options for afforestation on  state owned lands, building on initiatives  from Coillte and Bord na Móna.",Bord Na Móna,Semi-State Agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 4,Encourage businesses to play their part  when it comes to increasing forest cover.,Woodland Environmental Fund,"Department Of Agriculture, Food And The Marine"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 4,Encourage businesses to play their part  when it comes to increasing forest cover.,Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 7,Work with the European Commission  initiative to introduce a regulation  that aims to minimize the risk that  products linked to deforestation and  forest degradation are placed on the  EU market and to develop a definition  of deforestation-free supply chains.,European Union Timber Regulation,International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 2,Total Allowable Catches (TAC) should  continue to be informed by science  and then implemented under a robust  fisheries control system underpinned  by sustainable fishing practices.,Common Fisheries Policy,European Union (Eu)
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 2,Total Allowable Catches (TAC) should  continue to be informed by science  and then implemented under a robust  fisheries control system underpinned  by sustainable fishing practices.,Irish National Inshore Fisheries Forum,Trade Association
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 3,Continue towards improved fisheries  sustainability and meet the ‘Landing  Obligation’.,Bord Iascaigh Mhara,Semi-State Agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 3,Continue towards improved fisheries  sustainability and meet the ‘Landing  Obligation’.,Academia And Research Organisations,Research And Regulatory
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 4,It will be essential to maintain a level  playing field between the EU and UK  on issues such as the landing obligation  and technical conservation measures  to ensure the long-term conservation  of fish stocks and protect the ongoing  sustainability of the Irish fleet.,Irish Farmers' Association,Trade Association
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 4,It will be essential to maintain a level  playing field between the EU and UK  on issues such as the landing obligation  and technical conservation measures  to ensure the long-term conservation  of fish stocks and protect the ongoing  sustainability of the Irish fleet.,Uk Climate Change Committee,International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 4,It will be essential to maintain a level  playing field between the EU and UK  on issues such as the landing obligation  and technical conservation measures  to ensure the long-term conservation  of fish stocks and protect the ongoing  sustainability of the Irish fleet.,Exclusive Economic Zone Of The United Kingdom,International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 8,Seafood Sustainability Programmes  should be further developed to provide  independent evidence to customers of  good practice.,Bord Iascaigh Mhara,Semi-State Agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 8,Seafood Sustainability Programmes  should be further developed to provide  independent evidence to customers of  good practice.,Fishery Improvement Projects,Inputs
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 8,Seafood Sustainability Programmes  should be further developed to provide  independent evidence to customers of  good practice.,Origin Green,"Branding, Marketing And Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 7,"Research the extent of food loss at the  production (primary) stage in an Irish  context, and develop innovative ways  of reducing it.",Environmental Protection Agency,State Agencies 
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 7,"Research the extent of food loss at the  production (primary) stage in an Irish  context, and develop innovative ways  of reducing it.",Primary Producers,Small Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 7,"Research the extent of food loss at the  production (primary) stage in an Irish  context, and develop innovative ways  of reducing it.",Processors,Processors
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 7,"Research the extent of food loss at the  production (primary) stage in an Irish  context, and develop innovative ways  of reducing it.",Households,Civil Society
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 7,"Research the extent of food loss at the  production (primary) stage in an Irish  context, and develop innovative ways  of reducing it.",Commercial Sector,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 4,Develop closer links to AKIS.,Bord Bia The Irish Food Board,"Branding, Marketing And Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 4,Develop closer links to AKIS.,Teagasc The Agriculture And Food Development Authority,Semi-State Agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 4,Develop closer links to AKIS.,Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 4,Develop closer links to AKIS.,Private Agricultural Advisory And Extension Services,Inputs
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 4,Develop closer links to AKIS.,Signpost Farm Programme,Semi-State Agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 5,Further explore the health and  sustainability benefits of grass-based  food.,Bord Bia The Irish Food Board,"Branding, Marketing And Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 5,Further explore the health and  sustainability benefits of grass-based  food.,Academia And Research Organisations,Research And Regulatory
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 6,Encourage companies and farmers that  are not already signed up to Origin  Green to urgently get on board.,Eu Farm To Fork Strategy,International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 6,Encourage companies and farmers that  are not already signed up to Origin  Green to urgently get on board.,Agri-Food Businesses,Processors
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 6,Encourage companies and farmers that  are not already signed up to Origin  Green to urgently get on board.,Origin Green,"Branding, Marketing And Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 6,Encourage companies and farmers that  are not already signed up to Origin  Green to urgently get on board.,Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 7,"Communicate credible, market relevant  environmental and social sustainability  credentials to trade customers and  consumers in both national and  international markets.",Bord Bia The Irish Food Board,"Branding, Marketing And Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 7,"Communicate credible, market relevant  environmental and social sustainability  credentials to trade customers and  consumers in both national and  international markets.",Origin Green Member Companies,"Branding, Marketing And Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 8,"Establish thought leadership and  market insight platforms to contribute  to, and better understand, evolving  food sustainability developments in the  marketplace.",Origin Green,"Branding, Marketing And Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 8,"Establish thought leadership and  market insight platforms to contribute  to, and better understand, evolving  food sustainability developments in the  marketplace.",Intergovernmental Organisations,International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 8,"Establish thought leadership and  market insight platforms to contribute  to, and better understand, evolving  food sustainability developments in the  marketplace.",Agricultural Experts,Research And Regulatory
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 8,"Establish thought leadership and  market insight platforms to contribute  to, and better understand, evolving  food sustainability developments in the  marketplace.",Intergovernmental Organisations,International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 7,Strengthen and Invest in Origin Green and Other Sustainability Supports to Reflect the Higher Level of Ambition for the Agri-Food Sector,MISSION 1 GOAL 7 ACTION 8,"Establish thought leadership and  market insight platforms to contribute  to, and better understand, evolving  food sustainability developments in the  marketplace.",Non-Governmental Organizations,Ngo
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 8,"Continue the move to higher-quality,  value-added dairy produce, positioning  Irish dairy as a premium grass-fed  product with strong environmental  credentials.",Primary Producers,Small Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 10,Continue to work in collaboration  across the sector.,Dairy Forum,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 10,Continue to work in collaboration  across the sector.,Dairy Sustainability Ireland,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 12,"Promote Irish Grass-Fed beef and lamb  as premium products, nationally and  internationally.",Farmers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 12,"Promote Irish Grass-Fed beef and lamb  as premium products, nationally and  internationally.",Beef And Lamb Quality Assurance Scheme,Research And Regulatory
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 13,Develop and support dairy calf-to-beef  systems.,Beef Farmers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 19,Continue to work in collaboration  across the sector.,Dairy Forum,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 19,Continue to work in collaboration  across the sector.,Dairy Sustainability Ireland,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 34,"The Minister for Agriculture, Food and  the Marine has set up a Seafood Sector  Taskforce involving seafood industry  representatives and other stakeholders  to provide recommendations on the  appropriate measures that will best  support the sector and the local coastal  communities.",European Union,International Organisation
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 34,"The Minister for Agriculture, Food and  the Marine has set up a Seafood Sector  Taskforce involving seafood industry  representatives and other stakeholders  to provide recommendations on the  appropriate measures that will best  support the sector and the local coastal  communities.",Irish Fishing Industry,Inputs
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 34,"The Minister for Agriculture, Food and  the Marine has set up a Seafood Sector  Taskforce involving seafood industry  representatives and other stakeholders  to provide recommendations on the  appropriate measures that will best  support the sector and the local coastal  communities.",Coastal Communities,Civil Society
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 35,"The Seafood sector will continue  on a path of sustainable economic  and environmental development by  carefully managing the utilisation of  sea-fisheries and aquaculture, including:    •	 Expand and invest in fishing operations and gear  technology to develop the industry and improve  productivity.",Irish National Inshore Fisheries Forum,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 35,"The Seafood sector will continue  on a path of sustainable economic  and environmental development by  carefully managing the utilisation of  sea-fisheries and aquaculture, including:    •	 Expand and invest in fishing operations and gear  technology to develop the industry and improve  productivity.",Aquaculture Sector,Inputs
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 35,"The Seafood sector will continue  on a path of sustainable economic  and environmental development by  carefully managing the utilisation of  sea-fisheries and aquaculture, including:    •	 Expand and invest in fishing operations and gear  technology to develop the industry and improve  productivity.",Seafood Communities,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 35,"The Seafood sector will continue  on a path of sustainable economic  and environmental development by  carefully managing the utilisation of  sea-fisheries and aquaculture, including:    •	 Expand and invest in fishing operations and gear  technology to develop the industry and improve  productivity.",Rural Coastal Communities,Civil Society
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 35,"The Seafood sector will continue  on a path of sustainable economic  and environmental development by  carefully managing the utilisation of  sea-fisheries and aquaculture, including:    •	 Expand and invest in fishing operations and gear  technology to develop the industry and improve  productivity.",Marine Spatial Plan,"Department Of Environment, Climate And Communications"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 35,"The Seafood sector will continue  on a path of sustainable economic  and environmental development by  carefully managing the utilisation of  sea-fisheries and aquaculture, including:    •	 Expand and invest in fishing operations and gear  technology to develop the industry and improve  productivity.",Primary Producers,Small Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 2,Ireland will engage fully with the  Commission work and continue to  develop national initiatives on market  and price transparency.,Producers,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 2,Ireland will engage fully with the  Commission work and continue to  develop national initiatives on market  and price transparency.,Irish Farmers' Association,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 2,Ireland will engage fully with the  Commission work and continue to  develop national initiatives on market  and price transparency.,Fishery Producer Organisations,Producers
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 2,Ireland will engage fully with the  Commission work and continue to  develop national initiatives on market  and price transparency.,Aquaculture Producer Organisation,Trade Association
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 2,Ireland will engage fully with the  Commission work and continue to  develop national initiatives on market  and price transparency.,Common Fisheries Policy,European Union (Eu)
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 2,Ireland will engage fully with the  Commission work and continue to  develop national initiatives on market  and price transparency.,Common Agricultural Policy,European Union (Eu)
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 3,Support the establishment of co- operatives and Producer Organisations  across all sectors of farming and  enhance the role of the fishery producer  organisations co-operatives.,Bord Bia The Irish Food Board,"Branding, Marketing And Distribution"
