_id,MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category,Labels,Insert Datetime
68497bfb9b5e602eb0072dda,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Irelandâ€™s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Irelandâ€™s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",Universities,Research and Regulatory,Research and Regulatory 099,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072ddb,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 1,Develop a new Forestry Strategy for  Ireland (in line with the recommendation  of the Mackinnon report).,Social Economic Environmental Forestry Association,Trade Association,Trade Association 024,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072ddc,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 1,Develop a new Forestry Strategy for  Ireland (in line with the recommendation  of the Mackinnon report).,Rural Communities,Civil Society,Civil Society 013,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072ddd,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 1,Develop a new Forestry Strategy for  Ireland (in line with the recommendation  of the Mackinnon report).,BiOrbic SFI Bioeconomy Research Centre,Research and Regulatory,Research and Regulatory 018,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dde,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 1,Develop a new Forestry Strategy for  Ireland (in line with the recommendation  of the Mackinnon report).,Forest Industries Ireland,Semi-State Agency,Semi-State Agency 006,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072ddf,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",Agri-food Businesses,Processors,Processors 002,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072de0,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",Retailers,Sales and Retail,Sales and Retail 011,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072de1,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",Customer Retail and Foodservice Members,Sales and Retail,Sales and Retail 003,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072de2,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Waste Prevention Programme,"Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 010",2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072de3,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",Environmental Protection Agency,State Agencies ,State Agencies  001,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072de4,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Producers,Producers,Producers 022,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072de5,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Growers,Producers,Producers 014,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072de6,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Healthy Ireland,Department of Health,Department of Health 003,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072de7,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Farmers’ Markets,Sales and Retail,Sales and Retail 004,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072de8,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Local Food Initiatives,Civil Society,Civil Society 010,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072de9,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 1,"Ensure that the UTP Directive is  transposed in Ireland and the office  of the National Food Ombudsman  (or equivalent) is established, with  appropriate powers.",European Union,International organisation,International organisation 008,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dea,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 1,"Ensure that the UTP Directive is  transposed in Ireland and the office  of the National Food Ombudsman  (or equivalent) is established, with  appropriate powers.",European Market Observatory for Fisheries and Aquaculture,International organisation,International organisation 006,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072deb,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 1,"Ensure that the UTP Directive is  transposed in Ireland and the office  of the National Food Ombudsman  (or equivalent) is established, with  appropriate powers.",Bord Bia The Irish Food Board,"Branding, Marketing and Distribution","Branding, Marketing and Distribution 001",2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dec,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 2,Improve the Creation and Equitable Distribution of Value,MISSION 2 GOAL 2 ACTION 1,"Ensure that the UTP Directive is  transposed in Ireland and the office  of the National Food Ombudsman  (or equivalent) is established, with  appropriate powers.",Beef Taskforce,Research and Regulatory,Research and Regulatory 017,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072ded,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 1,"Teagasc Sustainability Reporting  should broaden to incorporate issues  such as: generational renewal and  collaborative farming models; gender  balance; diversity and Inclusion;  education and training; and health and  safety (including incidence of farm  accidents, stress and rates of isolation).",Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dee,MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 1,Prioritise Coherent Food and Health Policies to Deliver Improved Health Outcomes,MISSION 3 GOAL 1 ACTION 4,Agree a stakeholder Roadmap for Food  Product Reformulation.,Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072def,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 1,"Teagasc Sustainability Reporting  should broaden to incorporate issues  such as: generational renewal and  collaborative farming models; gender  balance; diversity and Inclusion;  education and training; and health and  safety (including incidence of farm  accidents, stress and rates of isolation).",Bord Iascaigh Mhara,Semi-State Agency,Semi-State Agency 002,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072df0,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 1,"Teagasc Sustainability Reporting  should broaden to incorporate issues  such as: generational renewal and  collaborative farming models; gender  balance; diversity and Inclusion;  education and training; and health and  safety (including incidence of farm  accidents, stress and rates of isolation).",Bord Bia The Irish Food Board,"Branding, Marketing and Distribution","Branding, Marketing and Distribution 001",2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072df1,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 1,"Teagasc Sustainability Reporting  should broaden to incorporate issues  such as: generational renewal and  collaborative farming models; gender  balance; diversity and Inclusion;  education and training; and health and  safety (including incidence of farm  accidents, stress and rates of isolation).",Fáilte Ireland,Semi-State Agency,Semi-State Agency 005,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072df2,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 1,"Teagasc Sustainability Reporting  should broaden to incorporate issues  such as: generational renewal and  collaborative farming models; gender  balance; diversity and Inclusion;  education and training; and health and  safety (including incidence of farm  accidents, stress and rates of isolation).",Seafood Producers,Producers,Producers 025,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072df3,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Farmers,Producers,Producers 008,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072df4,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Fishers,Producers,Producers 010,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072df5,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agri-food Businesses,Processors,Processors 002,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072df6,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,European Union,International organisation,International organisation 008,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072df7,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National Treatment Purchase Fund,State Agencies and Local Authorities,State Agencies and Local Authorities 009,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072df8,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Irelandâ€™s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Irelandâ€™s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",National Treatment Purchase Fund,State Agencies and Local Authorities,State Agencies and Local Authorities 009,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072df9,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Irelandâ€™s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Irelandâ€™s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",Universities,Research and Regulatory,Research and Regulatory 099,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dfa,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Irelandâ€™s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Irelandâ€™s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",National Treatment Purchase Fund,State Agencies and Local Authorities,State Agencies and Local Authorities 009,2025-06-11T13:52:11.977Z
