_id,MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category,Action Labels,Report Labels,Insert Datetime
684997c99b5e602eb0072f64,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),Teagasc negotiated a new phase of the Agricultural Catchments Programme and is involved in the Agricultural Sustainability Support and Advisory Programme.,Farmers,Teagasc The Agriculture And Food Development Authority,Producers,Semi-State Agency,Producers 008,Semi-state agency 012,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f65,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Sustainability Support and Advisory Programme (ASSAP),Teagasc negotiated a new phase of the Agricultural Catchments Programme and is involved in the Agricultural Sustainability Support and Advisory Programme.,Farmers,Teagasc The Agriculture And Food Development Authority,Producers,Semi-State Agency,Producers 008,Semi-state agency 012,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f66,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),Teagasc negotiated a new phase of the Agricultural Catchments Programme and is involved in the Agricultural Sustainability Support and Advisory Programme.,Agricultural Systems,Teagasc The Agriculture And Food Development Authority,Inputs,Semi-State Agency,Inputs 003,Semi-state agency 012,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f67,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Sustainability Support and Advisory Programme (ASSAP),Teagasc negotiated a new phase of the Agricultural Catchments Programme and is involved in the Agricultural Sustainability Support and Advisory Programme.,Agricultural Systems,Teagasc The Agriculture And Food Development Authority,Inputs,Semi-State Agency,Inputs 003,Semi-state agency 012,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f68,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),Teagasc negotiated a new phase of the Agricultural Catchments Programme and is involved in the Agricultural Sustainability Support and Advisory Programme.,Forest Industries Ireland,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-State Agency,Semi-State Agency 006,Semi-state agency 012,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f69,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Sustainability Support and Advisory Programme (ASSAP),Teagasc negotiated a new phase of the Agricultural Catchments Programme and is involved in the Agricultural Sustainability Support and Advisory Programme.,Forest Industries Ireland,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-State Agency,Semi-State Agency 006,Semi-state agency 012,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f6a,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),Actively involved in providing advisory services to farmers for improving water quality.,Farmers,Agricultural Sustainability Support And Advisory Programme,Producers,Research And Regulatory,Producers 008,Research and Regulatory 007,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f6b,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Sustainability Support and Advisory Programme (ASSAP),Actively involved in providing advisory services to farmers for improving water quality.,Farmers,Agricultural Sustainability Support And Advisory Programme,Producers,Research And Regulatory,Producers 008,Research and Regulatory 007,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f6c,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),Actively involved in providing advisory services to farmers for improving water quality.,Agricultural Systems,Agricultural Sustainability Support And Advisory Programme,Inputs,Research And Regulatory,Inputs 003,Research and Regulatory 007,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f6d,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Sustainability Support and Advisory Programme (ASSAP),Actively involved in providing advisory services to farmers for improving water quality.,Agricultural Systems,Agricultural Sustainability Support And Advisory Programme,Inputs,Research And Regulatory,Inputs 003,Research and Regulatory 007,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f6e,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),Actively involved in providing advisory services to farmers for improving water quality.,Forest Industries Ireland,Agricultural Sustainability Support And Advisory Programme,Semi-State Agency,Research And Regulatory,Semi-State Agency 006,Research and Regulatory 007,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f6f,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Sustainability Support and Advisory Programme (ASSAP),Actively involved in providing advisory services to farmers for improving water quality.,Forest Industries Ireland,Agricultural Sustainability Support And Advisory Programme,Semi-State Agency,Research And Regulatory,Semi-State Agency 006,Research and Regulatory 007,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f70,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),Actively involved in providing scientific evidence of agricultural impact to support the Agricultural Sustainability Support and Advisory Programme.,Farmers,Local Authority Waters Programme,Producers,State Agencies And Local Authorities,Producers 008,State Agencies and Local Authorities 005,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f71,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Sustainability Support and Advisory Programme (ASSAP),Actively involved in providing scientific evidence of agricultural impact to support the Agricultural Sustainability Support and Advisory Programme.,Farmers,Local Authority Waters Programme,Producers,State Agencies And Local Authorities,Producers 008,State Agencies and Local Authorities 005,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f72,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),Actively involved in providing scientific evidence of agricultural impact to support the Agricultural Sustainability Support and Advisory Programme.,Agricultural Systems,Local Authority Waters Programme,Inputs,State Agencies And Local Authorities,Inputs 003,State Agencies and Local Authorities 005,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f73,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Sustainability Support and Advisory Programme (ASSAP),Actively involved in providing scientific evidence of agricultural impact to support the Agricultural Sustainability Support and Advisory Programme.,Agricultural Systems,Local Authority Waters Programme,Inputs,State Agencies And Local Authorities,Inputs 003,State Agencies and Local Authorities 005,2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f74,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),Actively involved in providing scientific evidence of agricultural impact to support the Agricultural Sustainability Support and Advisory Programme.,Forest Industries Ireland,Local Authority Waters Programme,Semi-State Agency,State Agencies And Local Authorities,Semi-State Agency 006,State Agencies and Local Authorities 005,2025-06-11T15:50:49.346Z
