rowId,Action,File Name,Stakeholder,Category,Labels,Short Action,topic,norm,source,Insert Datetime
685d9f0757f9330c862779c6,"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Continue forest biodiversity research,carbon,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779c7,"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",National Biodiversity Action Plan 2017 - 2021,Forest Industries Ireland,Semi-State Agency,Semi-State Agency 006,Continue forest biodiversity research,carbon,semistateagency006,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779c8,"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",National Biodiversity Action Plan 2017 - 2021,Academia and Research Institutions,Research and Regulatory,Research and Regulatory 001,Continue forest biodiversity research,carbon,researchandregulatory001,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779c9,"4.1.1. Development and implementation of agri-environment schemes (AES) under the current and next Rural Development Programme (i.e. Green, Low Carbon, Agri-environment Scheme (GLAS) and locally led AES (LLAES). Ensure AES achieve a quantifiable net gain for biodiversity and ecosystem services including significant habitat maintenance and restoration measures",National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Develop biodiversity agri-environment schemes,carbon,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779ca,"4.1.1. Development and implementation of agri-environment schemes (AES) under the current and next Rural Development Programme (i.e. Green, Low Carbon, Agri-environment Scheme (GLAS) and locally led AES (LLAES). Ensure AES achieve a quantifiable net gain for biodiversity and ecosystem services including significant habitat maintenance and restoration measures",National Biodiversity Action Plan 2017 - 2021,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,Develop biodiversity agri-environment schemes,carbon,semistateagency012,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779cb,"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Realising our Rural Potential - Action Plan for Rural Development,Sustainable Energy Authority of Ireland,Semi-state agency ,Semi-state agency  011,Provide SEAI energy efficiency support,carbon,semistateagency011,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779cc,"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Realising our Rural Potential - Action Plan for Rural Development,"Department of Communications, Climate Action and the Environment","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 003",Provide SEAI energy efficiency support,carbon,"departmentofenvironment,climateandcommunications003",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779cd,"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Realising our Rural Potential - Action Plan for Rural Development,Údarás na Gaeltachta,Government Semi State Agency,Government Semi State Agency 002,Provide SEAI energy efficiency support,carbon,governmentsemistateagency002,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779ce,"Continue implementation of the Forestry Programme (2014- 2020) by increasing annual planting, carbon sequestration and more effective land management.",Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Implement forestry and land programme,carbon,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779cf,"Continue implementation of the Forestry Programme (2014- 2020) by increasing annual planting, carbon sequestration and more effective land management.",Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Implement forestry and land programme,carbon,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779d0,Provide potable water in all learning centres (from preschool and crÃ¨ches to universities and adult learning centres) and ensure all new builds provide potable water on opening.,A Healthy Weight for Ireland - Obesity Policy and Action Plan 2016-2025,Department of Education,Department of Education,Department of Education 001,Provide water in learning centres,water,departmentofeducation001,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779d1,Provide potable water in all learning centres (from preschool and crÃ¨ches to universities and adult learning centres) and ensure all new builds provide potable water on opening.,A Healthy Weight for Ireland - Obesity Policy and Action Plan 2016-2025,Pre-Schools,Research and Regulatory,Research and Regulatory 069,Provide water in learning centres,water,researchandregulatory069,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779d2,Provide potable water in all learning centres (from preschool and crÃ¨ches to universities and adult learning centres) and ensure all new builds provide potable water on opening.,A Healthy Weight for Ireland - Obesity Policy and Action Plan 2016-2025,Pre-Schools,Research and Regulatory,Research and Regulatory 069,Provide water in learning centres,water,researchandregulatory069,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779d3,Provide potable water in all learning centres (from preschool and crÃ¨ches to universities and adult learning centres) and ensure all new builds provide potable water on opening.,A Healthy Weight for Ireland - Obesity Policy and Action Plan 2016-2025,Academia and Research Organisations,Research and Regulatory,Research and Regulatory 100,Provide water in learning centres,water,researchandregulatory100,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779d4,Provide potable water in all learning centres (from preschool and crÃ¨ches to universities and adult learning centres) and ensure all new builds provide potable water on opening.,A Healthy Weight for Ireland - Obesity Policy and Action Plan 2016-2025,Academia and Research Organisations,Research and Regulatory,Research and Regulatory 100,Provide water in learning centres,water,researchandregulatory100,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779d5,Engage with local communities on water quality projects through the Local Authority Waters and Communities Office.,Realising our Rural Potential - Action Plan for Rural Development,Uisce Éireann,Semi-state agency,Semi-state agency 015,Engage communities on water quality,water,semistateagency015,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779d6,Engage with local communities on water quality projects through the Local Authority Waters and Communities Office.,Realising our Rural Potential - Action Plan for Rural Development,Local Authorities,State Agencies and Local Authorities,State Agencies and Local Authorities 004,Engage communities on water quality,water,stateagenciesandlocalauthorities004,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779d7,"Develop and promote Blueways (multi-purpose activity trails on or beside water) on the Royal, Grand and Barrow Canals and on the Shannon Navigation to expand the recreational and tourism offering, with a capital investment of â‚¬6m over the period 2017-2019.",Realising our Rural Potential - Action Plan for Rural Development,"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs 001",Develop and promote water Blueways,water,"departmentofarts,heritage,regional,ruralandgaeltachtaffairs001",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779d8,"Develop and promote Blueways (multi-purpose activity trails on or beside water) on the Royal, Grand and Barrow Canals and on the Shannon Navigation to expand the recreational and tourism offering, with a capital investment of â‚¬6m over the period 2017-2019.",Realising our Rural Potential - Action Plan for Rural Development,Waterways Ireland,Semi-state agency,Semi-state agency 017,Develop and promote water Blueways,water,semistateagency017,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779d9,"Develop and promote Blueways (multi-purpose activity trails on or beside water) on the Royal, Grand and Barrow Canals and on the Shannon Navigation to expand the recreational and tourism offering, with a capital investment of â‚¬6m over the period 2017-2019.",Realising our Rural Potential - Action Plan for Rural Development,Fáilte Ireland,Semi-State Agency,Semi-State Agency 005,Develop and promote water Blueways,water,semistateagency005,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779da,"Continue to deliver the annual Inland Fisheries Ireland Something Fishy National Schools Programme to inform and educate students on fish, water, angling and the environment in their local areas .",Realising our Rural Potential - Action Plan for Rural Development,Inland Fisheries Ireland,Research and Regulatory,Research and Regulatory 046,Educate students on water topics,water,researchandregulatory046,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779db,Introduce a trial to lower the water level on Lough Allen in specific conditions in order to help to mitigate potential flood risk.,Realising our Rural Potential - Action Plan for Rural Development,Office of Public Works,State Agencies and Local Authorities,State Agencies and Local Authorities 011,Trial lowering Lough Allen levels,water,stateagenciesandlocalauthorities011,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779dc,Introduce a trial to lower the water level on Lough Allen in specific conditions in order to help to mitigate potential flood risk.,Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Trial lowering Lough Allen levels,water,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779dd,"DAFM, DHLGH and NPWS will support the undertaking of research by Teagasc on the implications of the Nitrates Action Plan shallow cultivation measure on birds in the wider countryside",Ireland's 4th National Biodiversity Plan 2023 to 2030,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Research cultivation impacts on birds,water,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779de,"DAFM, DHLGH and NPWS will support the undertaking of research by Teagasc on the implications of the Nitrates Action Plan shallow cultivation measure on birds in the wider countryside",Ireland's 4th National Biodiversity Plan 2023 to 2030,National Parks and Wildlife Service,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage 003",Research cultivation impacts on birds,water,"departmentofhousing,localgovernmentandheritage003",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779df,"Uisce Ã‰ireann will implement its Water Services Strategic Plan (2015-2040), in particular its objective to protect and enhance the environment, together with its Biodiversity Action Plan",Ireland's 4th National Biodiversity Plan 2023 to 2030,Uisce Éireann,Semi-state agency,Semi-state agency 015,Implement water services strategic plan,water,semistateagency015,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779e0,DHLGH and LAWPRO will ensure that high status water bodies are effectively protected and restored via the Blue Dot Catchments Programme,Ireland's 4th National Biodiversity Plan 2023 to 2030,Local Authority Waters Programme,State Agencies and Local Authorities,State Agencies and Local Authorities 005,Protect and restore water bodies,water,stateagenciesandlocalauthorities005,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779e1,"DAFM will support the ambitions of the NAP by ensuring that Irelandâ€™s CAP SP will encourage circular and localised nutrient management and reduce loss of Nitrogen, Phosphorus, and soil to the aquatic environment, taking account of nature-based solutions",Ireland's 4th National Biodiversity Plan 2023 to 2030,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Promote nutrient loss reduction strategy,water,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779e2,"DHLGH and DAFM will continue to undertake high quality research into and mapping of Irelandâ€™s coastal and wider marine environments, including the deep ocean, thereby supporting the identification of biologically diverse, naturally productive and eco-systemically important areas within Irelandâ€™s maritime area, including those of importance to climate resilience, carbon capture and storage",Ireland's 4th National Biodiversity Plan 2023 to 2030,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Map marine ecosystems and biodiversity,water,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779e3,"DHLGH, Inland Fisheries Ireland, OPW and other relevant bodies will explore the restoration of 300 km or rivers to a free- flowing state",Ireland's 4th National Biodiversity Plan 2023 to 2030,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage 001",Restore 300 km of rivers,water,"departmentofhousing,localgovernmentandheritage001",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779e4,"DHLGH, Inland Fisheries Ireland, OPW and other relevant bodies will explore the restoration of 300 km or rivers to a free- flowing state",Ireland's 4th National Biodiversity Plan 2023 to 2030,Inland Fisheries Ireland,Research and Regulatory,Research and Regulatory 046,Restore 300 km of rivers,water,researchandregulatory046,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779e5,"DHLGH, Inland Fisheries Ireland, OPW and other relevant bodies will explore the restoration of 300 km or rivers to a free- flowing state",Ireland's 4th National Biodiversity Plan 2023 to 2030,Office of Public Works,State Agencies and Local Authorities,State Agencies and Local Authorities 011,Restore 300 km of rivers,water,stateagenciesandlocalauthorities011,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779e6,"DECC and DHLGH will facilitate integration and alignment and knowledge sharing between EU LIFE projects that deliver benefits for biodiversity, climate and water",Ireland's 4th National Biodiversity Plan 2023 to 2030,"Department of Environment, Climate and Communications","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 004",Align and integrate EU LIFE projects,water,"departmentofenvironment,climateandcommunications004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779e7,"The DFA will advocate for sustainable ocean management, ocean protection and vulnerable coastal communities through participation in international fora, particularly the to UNFCCC and related Dialogues, and the Organisation for Economic Cooperation and Development (OECD, recognising the important role of the ocean in climate action and in the preservation of global biodiversity",Ireland's 4th National Biodiversity Plan 2023 to 2030,Dairy Farmers,Producers,Producers 006,Advocate sustainable international ocean policies,water,producers006,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779e8,3.8.1 Assess the extent to which invterventions to reduce and eliminate discharge of untreated hospital waste may be achieved in conjunction with relevant agencies.,Irelandâ€™s National Action Plan on Antimicrobial Resistance 2017 â€“ 2020,Environmental Protection Agency,State Agencies ,State Agencies  001,Assess reduction of hospital waste,water,stateagencies001,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779e9,"1.2.4. Ensure the various provisions of the Forestry Act 2014 that strengthen the protection of biodiversity, water and the wider environment are brought into effect on commencement of the Act",National Biodiversity Action Plan 2017 - 2021,Academia and Research Organisations,Research and Regulatory,Research and Regulatory 100,Enforce Forestry Act biodiversity provisions,water,researchandregulatory100,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779ea,"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Continue research on forest ecosystems,water,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779eb,"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Continue research on forest ecosystems,water,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779ec,"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",National Biodiversity Action Plan 2017 - 2021,Forest Industries Ireland,Semi-State Agency,Semi-State Agency 006,Continue research on forest ecosystems,water,semistateagency006,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779ed,"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",National Biodiversity Action Plan 2017 - 2021,Academia and Research Institutions,Research and Regulatory,Research and Regulatory 001,Continue research on forest ecosystems,water,researchandregulatory001,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779ee,"4.2.1. Continue to protect, enhance and monitor the ecological status of water during the second cycle of the Water Framework Directive (2015- 2021) including reducing risks to water quality and utilising ecological expertise in decision-making, and in analysis of cumulative effects",National Biodiversity Action Plan 2017 - 2021,Environmental Protection Agency,State Agencies ,State Agencies  001,Monitor and protect water ecology,water,stateagencies001,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779ef,"4.2.1. Continue to protect, enhance and monitor the ecological status of water during the second cycle of the Water Framework Directive (2015- 2021) including reducing risks to water quality and utilising ecological expertise in decision-making, and in analysis of cumulative effects",National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Monitor and protect water ecology,water,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779f0,"4.2.1. Continue to protect, enhance and monitor the ecological status of water during the second cycle of the Water Framework Directive (2015- 2021) including reducing risks to water quality and utilising ecological expertise in decision-making, and in analysis of cumulative effects",National Biodiversity Action Plan 2017 - 2021,Inland Fisheries Ireland,Research and Regulatory,Research and Regulatory 046,Monitor and protect water ecology,water,researchandregulatory046,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779f1,"4.2.1. Continue to protect, enhance and monitor the ecological status of water during the second cycle of the Water Framework Directive (2015- 2021) including reducing risks to water quality and utilising ecological expertise in decision-making, and in analysis of cumulative effects",National Biodiversity Action Plan 2017 - 2021,"Department of Environment, Climate and Communications","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 004",Monitor and protect water ecology,water,"departmentofenvironment,climateandcommunications004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779f2,"4.2.1. Continue to protect, enhance and monitor the ecological status of water during the second cycle of the Water Framework Directive (2015- 2021) including reducing risks to water quality and utilising ecological expertise in decision-making, and in analysis of cumulative effects",National Biodiversity Action Plan 2017 - 2021,Local Authorities,State Agencies and Local Authorities,State Agencies and Local Authorities 004,Monitor and protect water ecology,water,stateagenciesandlocalauthorities004,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779f3,"4.2.1. Continue to protect, enhance and monitor the ecological status of water during the second cycle of the Water Framework Directive (2015- 2021) including reducing risks to water quality and utilising ecological expertise in decision-making, and in analysis of cumulative effects",National Biodiversity Action Plan 2017 - 2021,Academia and Research Institutions,Research and Regulatory,Research and Regulatory 001,Monitor and protect water ecology,water,researchandregulatory001,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779f4,"4.2.1. Continue to protect, enhance and monitor the ecological status of water during the second cycle of the Water Framework Directive (2015- 2021) including reducing risks to water quality and utilising ecological expertise in decision-making, and in analysis of cumulative effects",National Biodiversity Action Plan 2017 - 2021,Waterways Ireland,Semi-state agency,Semi-state agency 017,Monitor and protect water ecology,water,semistateagency017,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779f5,"4.2.1. Continue to protect, enhance and monitor the ecological status of water during the second cycle of the Water Framework Directive (2015- 2021) including reducing risks to water quality and utilising ecological expertise in decision-making, and in analysis of cumulative effects",National Biodiversity Action Plan 2017 - 2021,Marine Institute,Research and Regulatory,Research and Regulatory 054,Monitor and protect water ecology,water,researchandregulatory054,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779f6,"4.2.3. Implement recommendations of EPA STRIVE Report Series No. 99 (Management Strategies for the Protection of High Status Waterbodies)83 including, amongst other measures: prioritisation for protection measures; planning/licensing control; assessment of cumulative impacts; and integrated monitoring and protection",National Biodiversity Action Plan 2017 - 2021,Environmental Protection Agency,State Agencies ,State Agencies  001,Implement strategies for waterbodies protection,water,stateagencies001,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779f7,"4.2.3. Implement recommendations of EPA STRIVE Report Series No. 99 (Management Strategies for the Protection of High Status Waterbodies)83 including, amongst other measures: prioritisation for protection measures; planning/licensing control; assessment of cumulative impacts; and integrated monitoring and protection",National Biodiversity Action Plan 2017 - 2021,Local Authorities,State Agencies and Local Authorities,State Agencies and Local Authorities 004,Implement strategies for waterbodies protection,water,stateagenciesandlocalauthorities004,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779f8,"4.2.3. Implement recommendations of EPA STRIVE Report Series No. 99 (Management Strategies for the Protection of High Status Waterbodies)83 including, amongst other measures: prioritisation for protection measures; planning/licensing control; assessment of cumulative impacts; and integrated monitoring and protection",National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Implement strategies for waterbodies protection,water,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779f9,"5.1.2. Implement measures to achieve good ecological and environmental status of marine and coastal habitats as required by the Habitats, Directive, Water Framework Directive and Marine Strategy Framework Directive (MSFD) and in line with the OSPAR Convention (Convention for the protection of the marine environment in the North- East Atlantic)",National Biodiversity Action Plan 2017 - 2021,"Department of Environment, Climate and Communications","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 004",Achieve marine habitat protection targets,water,"departmentofenvironment,climateandcommunications004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779fa,"5.1.2. Implement measures to achieve good ecological and environmental status of marine and coastal habitats as required by the Habitats, Directive, Water Framework Directive and Marine Strategy Framework Directive (MSFD) and in line with the OSPAR Convention (Convention for the protection of the marine environment in the North- East Atlantic)",National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Achieve marine habitat protection targets,water,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779fb,"5.1.2. Implement measures to achieve good ecological and environmental status of marine and coastal habitats as required by the Habitats, Directive, Water Framework Directive and Marine Strategy Framework Directive (MSFD) and in line with the OSPAR Convention (Convention for the protection of the marine environment in the North- East Atlantic)",National Biodiversity Action Plan 2017 - 2021,Marine Institute,Research and Regulatory,Research and Regulatory 054,Achieve marine habitat protection targets,water,researchandregulatory054,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779fc,"5.1.2. Implement measures to achieve good ecological and environmental status of marine and coastal habitats as required by the Habitats, Directive, Water Framework Directive and Marine Strategy Framework Directive (MSFD) and in line with the OSPAR Convention (Convention for the protection of the marine environment in the North- East Atlantic)",National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Achieve marine habitat protection targets,water,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779fd,"5.1.2. Implement measures to achieve good ecological and environmental status of marine and coastal habitats as required by the Habitats, Directive, Water Framework Directive and Marine Strategy Framework Directive (MSFD) and in line with the OSPAR Convention (Convention for the protection of the marine environment in the North- East Atlantic)",National Biodiversity Action Plan 2017 - 2021,Uisce Éireann,Semi-state agency,Semi-state agency 015,Achieve marine habitat protection targets,water,semistateagency015,Action Plans,2025-06-26T20:27:03.651Z
