Speaker,Topic Thoughts,Sentiment,Labels,Category
Professor Alan Barrett,The speaker acknowledges that economic growth is linked to an increase in greenhouse gas emissions and emphasizes the need for significant delivery on mitigation measures.,Neutral,"Director, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Deputy Paul Murphy,The speaker believes that addressing carbon emissions requires regulation and public ownership rather than relying solely on carbon taxes.,Support,"Deputy (TD), People Before Profit Alliance, Political Party",Political Party
Deputy Eamon Ryan,The speaker expresses concern that the current national development plan is failing to effectively address carbon reduction and suggests a need for reevaluation.,Oppose,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport, Green Party, Dublin Bay South",Political Party
Deputy Eamon Ryan,The speaker expresses concern that the current national development plan is failing to effectively address carbon reduction and suggests a need for reevaluation.,Oppose,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications, Green Party, Department of Environment, Climate and Communications",Political Party
Professor Alan Barrett,"The speaker expresses concern about the low valuation of carbon in cost-benefit analyses, suggesting it devalues environmental benefits.",Oppose,"Director, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Dr. John Curtis,The speaker expresses concern that unprofitable agricultural enterprises contribute significantly to greenhouse gas emissions and suggests the need for diversification.,Neutral,"Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Senator Michelle Mulherin,The speaker expresses concern about the impact of carbon taxes on financially strained individuals and advocates for technological solutions for sustainable living.,Oppose,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Senator Ian Marshall,Agriculture can positively contribute to carbon sequestration through effective pastureland management.,Support,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Senator Ian Marshall,Agriculture can positively contribute to carbon sequestration through efficient pastureland management.,Support,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Senator Tim Lombard,The speaker emphasizes the need for a proactive approach to carbon pricing and transitioning to a low-carbon economy.,Support,"Senator, Fine Gael, Cork",Political Party
Senator Tim Lombard,The speaker emphasizes the need for a proactive approach to carbon pricing and moving towards a low-carbon economy.,Support,"Senator, Fine Gael, Cork",Political Party
Mr. John McCarthy,"The speaker supports the idea that a carbon tax creates certainty for economic agents, encouraging investment in low-carbon alternatives and reducing emissions.",Support,"Deputy President, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Robert Watt,The speaker indicates that the high emissions in their country are due to structural differences and challenges rather than a lack of effort compared to other countries.,Neutral,"Secretary General, Department of Public Expenditure and Reform",Department of Public Expenditure and Reform
Senator Grace ’Sullivan,"The speaker supports the idea of returning carbon tax revenue to individuals, particularly benefiting low-income households.",Support,"Senator, Green Party, Waterford",Political Party
Deputy Pat Deering,The speaker supports the idea of analyzing the implications of a carbon tax on the agricultural sector.,Support,"Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine, Fine Gael, Carlow",Political Party
Mr. Robert Watt,Society believes that the climate is changing.,Neutral,"Secretary General, Department of Public Expenditure and Reform",Department of Public Expenditure and Reform
Deputy Eamon Ryan,Decarbonisation is viewed as an economic opportunity that must be embraced.,Support,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport, Green Party, Dublin Bay South",Political Party
Deputy Eamon Ryan,Decarbonisation is viewed as an economic opportunity that must be embraced.,Support,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications, Green Party, Department of Environment, Climate and Communications",Political Party
Senator Michelle Mulherin,The speaker emphasizes the need to understand the costs and benefits of reducing carbon emissions while ensuring economic viability.,Neutral,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Mr. Derek Moran,The speaker believes that economic growth must be moderated to reduce emissions and promote environmental sustainability.,Support,"Secretary General, Department of Finance",Department of Finance
Deputy Timmy Dooley,The speaker emphasizes the need for clear carbon reduction targets and accountability in their implementation.,Support,"Deputy (TD), Fianna Fáil, Clare",Political Party
Deputy Richard Bruton,The speaker emphasizes the need for effective carbon use and minimization policies while recognizing the challenges in reducing carbon across sectors.,Neutral,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,"The speaker emphasizes the need for effective carbon use and minimization policies, acknowledging the challenges in reducing carbon emissions across different sectors.",Neutral,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Senator Michelle Mulherin,The speaker believes agriculture can achieve carbon neutrality but is concerned about the lack of recognition for its carbon efficiency compared to other EU countries.,Neutral,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Deputy Richard Bruton,"The speaker supports implementing a carbon tax as a necessary measure for reducing carbon intensity, emphasizing its impact on final users rather than production.",Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,The speaker supports implementing a carbon tax that encourages accountability for carbon use and promotes efficiency in agriculture.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,The speaker supports a fair marking system for proposals based on their impact on carbon emissions and community benefits.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Sean Sherlock,The speaker supports using the carbon fund to finance sustainable models like the Tipperary Energy Agency's approach.,Support,"Deputy (TD), Labour Party, Cork",Political Party
Deputy Sean Sherlock,The speaker supports utilizing the carbon fund to finance sustainable projects.,Support,"Deputy (TD), Labour Party, Cork",Political Party
Deputy Richard Bruton,The speaker recognizes the value of community-based initiatives and emphasizes the need for improvement in existing instruments to foster social sustainability.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,The speaker values community-based initiatives and recognizes their importance in driving climate action and social sustainability.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,The speaker supports initiatives that respond to regional challenges through retraining and enterprise development.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,The speaker supports initiatives that respond to regional challenges through enterprise and funding.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,The speaker believes that every State agency should have a carbon mandate and responsibility in procurement to influence policy effectively.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,"The speaker advocates for a government-led approach to climate action, emphasizing the need for all state agencies to have a carbon mandate and responsibility in their operations.",Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Tom Neville,The speaker emphasizes the importance of grassroots involvement and local government in addressing community issues.,Support,"Deputy (TD), Fine Gael, Limerick",Political Party
Deputy Richard Bruton,The speaker emphasizes the necessity of community engagement for effective change.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,"Engaging communities is essential for effective change, and their involvement is crucial to success.",Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,The speaker believes that a carbon tax is essential for changing behavior regarding carbon emissions and should not be seen as a revenue-generating tool.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,"The speaker supports a carbon tax as a necessary tool to change behavior and address carbon damage, emphasizing its role in signaling the need for accountability in carbon emissions.",Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Bríd Smith,The speaker acknowledges the need for a carbon tax to change behavior but criticizes its implementation without providing alternatives.,Oppose,"Deputy, Member of the Dail Eireann (the lower house of the Irish Parliament), People Before Profit Alliance, Political Party",Political Party
Deputy Bríd Smith,The speaker acknowledges the need for a carbon tax but criticizes its implementation without providing alternatives.,Oppose,"Deputy, Member of the Dail Eireann (the lower house of the Irish Parliament), People Before Profit Alliance, Political Party",Political Party
Deputy Bríd Smith,The speaker acknowledges the need for a carbon tax but criticizes its implementation without providing alternatives for the public.,Oppose,"Deputy, Member of the Dail Eireann (the lower house of the Irish Parliament), People Before Profit Alliance, Political Party",Political Party
Deputy Richard Bruton,The price of carbon is a crucial factor in encouraging investment in better energy systems.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,The speaker emphasizes the importance of investing in better energy systems and acknowledges the significant role of carbon pricing in climate action.,Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Deputy Richard Bruton,"The speaker supports a clear trajectory for carbon tax implementation by 2025 and 2030, emphasizing the need for consensus and adaptation strategies.",Support,"Deputy (TD), Fine Gael, Dublin Bay North",Political Party
Professor Valérie Masson-Delmotte,"Many countries are not on track, but some have peaked and are slowly declining, indicating a need for more urgent action.",Neutral,"Co Chair of Working Group I, Intergovernmental Panel on Climate Change (IPCC), Research and Regulatory",Research and Regulatory
Professor Valérie Masson-Delmotte,"Many countries are not on track, but some have peaked and are slowly declining, indicating a need for faster action.",Neutral,"Co Chair of Working Group I, Intergovernmental Panel on Climate Change (IPCC), Research and Regulatory",Research and Regulatory
Professor Sonia Seneviratne,"The speaker believes that achieving zero emissions by 2050 is necessary to meet climate goals, but emphasizes the importance of focusing on a 50% reduction by 2030.",Support,"Professor for Land Climate Dynamics, Swiss Federal Institute of Technology (ETH Zurich), Research and Regulatory",Research and Regulatory
Dr. Pierre-Marie Aubert,Ireland must pursue neutrality at a national level and assist other countries in offsetting residual emissions.,Neutral,"Coordinator of the European Agriculture Initiative , Institute for Sustainable Development and International Relations (IDDRI), Research and Regulatory",Research and Regulatory
Dr. Pierre-Marie Aubert,Ireland must pursue neutrality at a national level and assist other countries in offsetting emissions.,Neutral,"Coordinator of the European Agriculture Initiative , Institute for Sustainable Development and International Relations (IDDRI), Research and Regulatory",Research and Regulatory
Dr. Pierre-Marie Aubert,The speaker suggests that taxing emissions based on efficiency may be preferable to absolute levels to promote global efficiency in agricultural production.,Support,"Coordinator of the European Agriculture Initiative , Institute for Sustainable Development and International Relations (IDDRI), Research and Regulatory",Research and Regulatory
Dr. Pierre-Marie Aubert,The speaker suggests that taxing emissions based on efficiency may be preferable to absolute levels to promote efficient production systems.,Support,"Coordinator of the European Agriculture Initiative , Institute for Sustainable Development and International Relations (IDDRI), Research and Regulatory",Research and Regulatory
Dr. Pierre-Marie Aubert,Taxing emissions based on efficiency may be preferable to absolute levels to promote global efficiency in agricultural production.,Support,"Coordinator of the European Agriculture Initiative , Institute for Sustainable Development and International Relations (IDDRI), Research and Regulatory",Research and Regulatory
Dr. Pierre-Marie Aubert,The speaker advocates for producing climate-efficient dairy and meat products to enhance global market share while reducing carbon emissions.,Support,"Coordinator of the European Agriculture Initiative , Institute for Sustainable Development and International Relations (IDDRI), Research and Regulatory",Research and Regulatory
Dr. Pierre-Marie Aubert,"The speaker advocates for climate-efficient production in the agrifood sector, particularly dairy and meat.",Support,"Coordinator of the European Agriculture Initiative , Institute for Sustainable Development and International Relations (IDDRI), Research and Regulatory",Research and Regulatory
Dr. Pierre-Marie Aubert,The speaker emphasizes the importance of producing climate-efficient dairy and meat products to maintain competitiveness in the agrifood sector.,Support,"Coordinator of the European Agriculture Initiative , Institute for Sustainable Development and International Relations (IDDRI), Research and Regulatory",Research and Regulatory
Professor Valérie Masson-Delmotte,The speaker emphasizes the importance of optimizing product use to reduce life cycle emissions through shared consumption.,Support,"Co Chair of Working Group I, Intergovernmental Panel on Climate Change (IPCC), Research and Regulatory",Research and Regulatory
Deputy Tom Neville,The speaker expresses concern about the potential negative impact of forced downsizing in agriculture on carbon emissions and food production efficiency.,Oppose,"Deputy (TD), Fine Gael, Limerick",Political Party
Deputy Tom Neville,The speaker expresses concern about the potential negative impact of forced downsizing in agriculture on carbon efficiency and food production.,Oppose,"Deputy (TD), Fine Gael, Limerick",Political Party
Dr. Pierre-Marie Aubert,Innovations in agriculture can reduce emissions but will not achieve carbon neutrality without reshaping the sector.,Neutral,"Coordinator of the European Agriculture Initiative , Institute for Sustainable Development and International Relations (IDDRI), Research and Regulatory",Research and Regulatory
Professor Valérie Masson-Delmotte,The speaker supports the restoration of peatlands as a means to provide verified carbon storage services to companies.,Support,"Co Chair of Working Group I, Intergovernmental Panel on Climate Change (IPCC), Research and Regulatory",Research and Regulatory
Professor John FitzGerald,The speaker emphasizes the need for a significant increase in carbon pricing to effectively tackle climate change.,Support,"Chair, Climate Change Advisory Council, Research and Regulatory",Research and Regulatory
Professor John FitzGerald,The speaker emphasizes the need for a significant increase in carbon pricing to effectively address climate change.,Support,"Chair, Climate Change Advisory Council, Research and Regulatory",Research and Regulatory
Professor John FitzGerald,The speaker believes that carbon pricing is essential to discourage fossil fuel use and incentivize investment in low-carbon technologies.,Support,"Chair, Climate Change Advisory Council, Research and Regulatory",Research and Regulatory
Professor John FitzGerald,A carbon tax is essential to drive change and reduce emissions effectively.,Support,"Chair, Climate Change Advisory Council, Research and Regulatory",Research and Regulatory
Professor John FitzGerald,The speaker advocates for raising the carbon tax as essential for addressing climate change.,Support,"Chair, Climate Change Advisory Council, Research and Regulatory",Research and Regulatory
Professor John FitzGerald,The speaker advocates for raising the carbon tax as a necessary measure to address climate change.,Support,"Chair, Climate Change Advisory Council, Research and Regulatory",Research and Regulatory
Ms Laura Burke,The speaker acknowledges the need for a discussion on carbon neutrality and emphasizes the sector's responsibility to comply with environmental requirements.,Support,"Director General, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Ms Laura Burke,The speaker acknowledges the need for a discussion on carbon neutrality and emphasizes the agricultural sector's responsibility to comply with environmental requirements.,Support,"Director General, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Ms Laura Burke,The speaker acknowledges the need for a discussion on carbon neutrality and emphasizes the sector's responsibility to comply with environmental requirements.,Neutral,"Director General, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Deputy Pat Deering,"The speaker supports a balanced approach to carbon taxation, emphasizing the need to avoid detrimental impacts on the agricultural sector.",Support,"Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine, Fine Gael, Carlow",Political Party
Deputy Pat Deering,"The speaker supports a balanced approach to carbon taxation, warning against its potential negative impact on the agricultural sector and rural Ireland.",Neutral,"Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine, Fine Gael, Carlow",Political Party
Deputy Pat Deering,"The speaker supports a balanced approach to carbon taxation, emphasizing the need to avoid detrimental impacts on agriculture, particularly the suckler sector.",Support,"Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine, Fine Gael, Carlow",Political Party
Mr. Andrew St. Ledger,The speaker advocates for allowing trees to grow older to absorb more carbon and develop complex ecosystem services.,Support,"Co founder and Spokesperson, The Woodland League, NGO",NGO
Mr. Andrew St. Ledger,The speaker advocates for long-term carbon storage through the development of older trees and complex ecosystems.,Support,"Co founder and Spokesperson, The Woodland League, NGO",NGO
Mr. Andrew St. Ledger,The speaker advocates for long-term carbon storage through the growth of older trees in forests.,Support,"Co founder and Spokesperson, The Woodland League, NGO",NGO
Ms Cliona Sharkey,The speaker acknowledges the need for a low-carbon agricultural economy to address climate change.,Support,"Policy Advisor on Climate Change, Trócaire, NGO",NGO
Ms Cliona Sharkey,The speaker emphasizes the need for a low-carbon agricultural economy to address climate change.,Support,"Policy Advisor on Climate Change, Trócaire, NGO",NGO
Ms Cliona Sharkey,The speaker emphasizes the need for a low-carbon agricultural economy to address climate change and support rural communities.,Support,"Policy Advisor on Climate Change, Trócaire, NGO",NGO
Mr. Oisín Coghlan,"The speaker supports a net zero carbon target for Ireland by 2050, emphasizing the need for significant reductions.",Support,"Director, Friends of the Earth Ireland, NGO",NGO
Mr. Oisín Coghlan,The speaker advocates for reducing emissions by improving energy efficiency and transitioning away from peat for electricity generation.,Support,"Director, Friends of the Earth Ireland, NGO",NGO
Mr. Oisín Coghlan,The speaker advocates for reducing emissions through energy efficiency and transitioning away from peat for electricity generation.,Support,"Director, Friends of the Earth Ireland, NGO",NGO
Professor John Sweeney,The speaker emphasizes the importance of focusing on rural development in agricultural policies to support communities during the transition.,Support,"Emeritus Professor, Maynooth University, Research and Regulatory",Research and Regulatory
Professor John Sweeney,"The speaker advocates for a just transition in agriculture, emphasizing the importance of rural development and ecological focus in policy negotiations.",Support,"Emeritus Professor, Maynooth University, Research and Regulatory",Research and Regulatory
Mr. Andrew St. Ledger,The speaker believes that hedgerows and woodlands should be included in carbon calculations due to their significant carbon sequestration potential.,Support,"Co founder and Spokesperson, The Woodland League, NGO",NGO
Ms Cliona Sharkey,The speaker emphasizes the necessity of urgent climate action to meet the Paris Agreement's temperature limits and ensure a habitable planet for society.,Support,"Policy Advisor on Climate Change, Trócaire, NGO",NGO
Deputy Jack Chambers,The speaker supports inverting the carbon model and localised exporting as a means to transform the economic model and society.,Support,"Deputy (TD), Dail Eireann (Lower House of the Irish Parliament)",Dail Eireann
Mr. Charles Stanley-Smith,The speaker emphasizes the importance of protecting freshwater pearl mussels to meet water quality standards.,Support,"Former Chairperson, An Taisce  The National Trust for Ireland, NGO",NGO
Mr. Charles Stanley-Smith,The speaker emphasizes the importance of meeting water framework directive targets to avoid fines and protect freshwater pearl mussels.,Support,"Former Chairperson, An Taisce  The National Trust for Ireland, NGO",NGO
Mr. Charles Stanley-Smith,The speaker believes the classification of biomass as zero carbon is a mistake and is wrong.,Oppose,"Former Chairperson, An Taisce  The National Trust for Ireland, NGO",NGO
Mr. Charles Stanley-Smith,The speaker believes that the classification of biomass as zero carbon is a mistake and is incorrect.,Oppose,"Former Chairperson, An Taisce  The National Trust for Ireland, NGO",NGO
Ms Cliona Sharkey,The speaker emphasizes the importance of participatory development and local engagement in decision-making.,Support,"Policy Advisor on Climate Change, Trócaire, NGO",NGO
Ms Cliona Sharkey,The speaker emphasizes the importance of participatory development and local decision-making to engage communities effectively.,Support,"Policy Advisor on Climate Change, Trócaire, NGO",NGO
Ms Cliona Sharkey,The speaker emphasizes the importance of participatory development and local decision-making to foster community engagement.,Support,"Policy Advisor on Climate Change, Trócaire, NGO",NGO
Mr. Oisín Coghlan,"The speaker views community involvement in renewable energy projects as essential and positive, particularly through schemes that allow local participation and ownership.",Support,"Director, Friends of the Earth Ireland, NGO",NGO
Mr. Oisín Coghlan,"The speaker views community involvement in renewable energy projects as essential and positive, emphasizing the importance of local participation and ownership.",Support,"Director, Friends of the Earth Ireland, NGO",NGO
Mr. Oisín Coghlan,The speaker emphasizes the importance of engaging with community members to understand their needs and aspirations for a fossil-free future.,Support,"Director, Friends of the Earth Ireland, NGO",NGO
Mr. Oisín Coghlan,The speaker emphasizes the importance of engaging with the community to understand their needs and aspirations for a fossil-free future.,Support,"Director, Friends of the Earth Ireland, NGO",NGO
Professor Brian Gallachóir,The speaker acknowledges significant challenges in removing carbon from economies and emphasizes the need for cost-effective solutions.,Neutral,"Professor of Energy Engineering and Director of MaREI, the SFI Research Centre for Energy, Climate and Marine, University College Cork (UCC), Research and Regulatory",Research and Regulatory
Professor Brian Gallachóir,The speaker acknowledges significant challenges in removing carbon from economies and emphasizes the importance of cost-effective solutions without promoting specific technologies.,Neutral,"Professor of Energy Engineering and Director of MaREI, the SFI Research Centre for Energy, Climate and Marine, University College Cork (UCC), Research and Regulatory",Research and Regulatory
Senator Paul Daly,"The speaker acknowledges the need for a mixture of biofuels and fossil fuels, indicating a pragmatic approach to carbon management.",Support,"Senator, Fianna Fáil, Westmeath",Political Party
Senator Paul Daly,"The speaker acknowledges the need for a mixture of biofuels and fossil fuels, indicating a pragmatic approach to carbon management.",Support,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Senator Paul Daly,"The speaker acknowledges the need for a combination of biofuels and fossil fuels, indicating a pragmatic approach to carbon management.",Neutral,"Senator, Fianna Fáil, Westmeath",Political Party
Senator Paul Daly,"The speaker acknowledges the need for a combination of biofuels and fossil fuels, indicating a pragmatic approach to carbon management.",Neutral,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Dr. Fionn Rogan,"The speaker believes that transitioning to a low-carbon economy presents opportunities, particularly through technology and incentives, but acknowledges risks associated with political uncertainty.",Neutral,"Research Fellow , Marine and Renewable Energy Ireland (MaREI) Centre, Research and Regulatory",Research and Regulatory
Senator Máire Devine,The speaker emphasizes the importance of community involvement and communication to address issues like fuel poverty and climate change.,Support,"Senator, Sinn Féin, Dublin",Political Party
Professor Brian Gallachóir,The speaker supports community energy schemes as a positive approach to addressing energy poverty.,Support,"Professor of Energy Engineering and Director of MaREI, the SFI Research Centre for Energy, Climate and Marine, University College Cork (UCC), Research and Regulatory",Research and Regulatory
Deputy Eamon Ryan,The speaker emphasizes the importance of integrating environmental care with farming community interests for future profitability.,Support,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport, Green Party, Dublin Bay South",Political Party
Deputy Eamon Ryan,The speaker emphasizes the importance of integrating environmental care with farming community interests for future profitability.,Support,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications, Green Party, Department of Environment, Climate and Communications",Political Party
Deputy Eamon Ryan,The speaker emphasizes the importance of integrating environmental care with farming practices to enhance profits and sustainability.,Support,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport, Green Party, Dublin Bay South",Political Party
Deputy Eamon Ryan,The speaker emphasizes the importance of integrating environmental care with farming practices to enhance profits and sustainability.,Support,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications, Green Party, Department of Environment, Climate and Communications",Political Party
Mr. Trevor Donnellan,"The speaker acknowledges that emissions have increased due to dairy sector activity and nitrogen fertiliser use, but highlights past reductions in nitrogen fertiliser as a contributor to stabilising emissions.",Neutral,"Head of the Agricultural Economics and Farm Surveys Department, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Trevor Donnellan,The speaker acknowledges the complexity of measuring carbon emissions in agriculture and suggests that current methods may not provide 100% certainty.,Neutral,"Head of the Agricultural Economics and Farm Surveys Department, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Trevor Donnellan,"The speaker acknowledges that while emissions efficiency is improving, the overall carbon emissions are increasing due to higher production levels.",Neutral,"Head of the Agricultural Economics and Farm Surveys Department, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Michael Spellman,"The speaker emphasizes the need to reduce or remove greenhouse gas emissions in agriculture, acknowledging that mitigation efforts are limited and require collective action.",Support,"Chairperson of the ICMSA's Farm & Rural Affairs Committee, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Michael Spellman,The speaker emphasizes the need to reduce or remove greenhouse gas emissions in agriculture where possible.,Support,"Chairperson of the ICMSA's Farm & Rural Affairs Committee, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Joe Healy,The speaker supports rural development initiatives that include climate mitigating actions.,Support,"Former President, Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. John Enright,A carbon tax could harm the dairy sector's competitiveness and worsen climate change by shifting production to less efficient regions.,Oppose,"General Secretary, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Joe Healy,"The speaker emphasizes the importance of carbon efficiency in food production, arguing that Irish farmers are among the most carbon-efficient producers.",Support,"Former President, Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. Pat McCormack,The speaker emphasizes the need to address pH levels in soil to improve water quality and fertiliser usage.,Support,"President , Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. John Enright,"The speaker emphasizes the importance of economic viability for farmers, highlighting the need for a supportive policy framework to ensure economic returns from sustainable practices and renewables.",Support,"General Secretary, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Michael Spellman,The speaker advocates for community-led energy projects to enhance local buy-in and benefits.,Support,"Chairperson of the ICMSA's Farm & Rural Affairs Committee, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Thomas Ryan,Farmers are actively engaged in carbon assessments and initiatives to reduce emissions.,Support,"Director of the Environmental and Rural Affairs, Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. Thomas Ryan,The speaker acknowledges significant engagement from farmers in carbon assessments and initiatives aimed at reducing emissions.,Support,"Director of the Environmental and Rural Affairs, Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. Michael Spellman,The speaker emphasizes the importance of sustaining rural communities and services to support economic growth.,Support,"Chairperson of the ICMSA's Farm & Rural Affairs Committee, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Michael Spellman,The speaker emphasizes the importance of sustaining rural communities and services to ensure their viability.,Support,"Chairperson of the ICMSA's Farm & Rural Affairs Committee, Irish Creamery Milk Suppliers Association (ICMSA), Trade Association",Trade Association
Mr. Joe Healy,The speaker asserts that the farming sector has maintained flatline emissions since 1990 while increasing output by 40%.,Support,"Former President, Irish Farmers' Association (IFA), Trade Association",Trade Association
