Document,Document Name,Author,Year,Primary Formal Name,Secondary Formal Name,Context,Tag,Primary Category,Secondary Category
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",National Council Of The Irish Cattle And Sheep Farmersâ€™ Association,"The Department of Agriculture, Food and the Marine engaged in discussions with the ICSA Irish Cattle and Sheep Farmersâ€™ Association regarding agricultural matters.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",National Council Of The Irish Cattle And Sheep Farmersâ€™ Association,"The Department of Agriculture, Food and the Marine engaged in discussions with the ICSA Irish Cattle and Sheep Farmersâ€™ Association regarding agricultural matters.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",National Council Of The Irish Cattle And Sheep Farmersâ€™ Association,"The Department of Agriculture, Food and the Marine engaged in discussions with the ICSA Irish Cattle and Sheep Farmersâ€™ Association regarding agricultural matters.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",National Council Of The Irish Cattle And Sheep Farmersâ€™ Association,"The Department of Agriculture, Food and the Marine engaged in discussions with the ICSA Irish Cattle and Sheep Farmersâ€™ Association regarding agricultural matters.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Farmers' Association,"Discussion with representatives from the Irish Farmersâ€™ Association occurred on 13 February 2018 alongside officials from the Department of Agriculture, Food and the Marine.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Farmers' Association,"Discussion with representatives from the Irish Farmersâ€™ Association occurred on 13 February 2018 alongside officials from the Department of Agriculture, Food and the Marine.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Farmers' Association,"Discussion with representatives from the Irish Farmersâ€™ Association occurred on 13 February 2018 alongside officials from the Department of Agriculture, Food and the Marine.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Farmers' Association,"Discussion with representatives from the Irish Farmersâ€™ Association occurred on 13 February 2018 alongside officials from the Department of Agriculture, Food and the Marine.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Natura And Hill Farmers Association,"Discussion involving the Department of Agriculture, Food and the Marine and representatives from the INHFA Irish Natura and Hill Farmers Association.",Collaborates,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Natura And Hill Farmers Association,"Discussion involving the Department of Agriculture, Food and the Marine and representatives from the INHFA Irish Natura and Hill Farmers Association.",Collaborates,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Natura And Hill Farmers Association,"Discussion involving the Department of Agriculture, Food and the Marine and representatives from the INHFA Irish Natura and Hill Farmers Association.",Collaborates,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Natura And Hill Farmers Association,"Discussion involving the Department of Agriculture, Food and the Marine and representatives from the INHFA Irish Natura and Hill Farmers Association.",Collaborates,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Organic Farmers And Growers Association,"The Department of Agriculture, Food and the Marine engaged in discussions with the IOFGA Irish Organic Farmers and Growers Association regarding agricultural practices.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Organic Farmers And Growers Association,"The Department of Agriculture, Food and the Marine engaged in discussions with the IOFGA Irish Organic Farmers and Growers Association regarding agricultural practices.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Organic Farmers And Growers Association,"The Department of Agriculture, Food and the Marine engaged in discussions with the IOFGA Irish Organic Farmers and Growers Association regarding agricultural practices.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Organic Farmers And Growers Association,"The Department of Agriculture, Food and the Marine engaged in discussions with the IOFGA Irish Organic Farmers and Growers Association regarding agricultural practices.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine engaged in discussions with Dairy Industry Ireland regarding agricultural and environmental matters.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine engaged in discussions with Dairy Industry Ireland regarding agricultural and environmental matters.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine engaged in discussions with Dairy Industry Ireland regarding agricultural and environmental matters.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine engaged in discussions with Dairy Industry Ireland regarding agricultural and environmental matters.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Meat Industry Ireland,"Discussion between the Department of Agriculture, Food and the Marine and representatives from Meat Industry Ireland on 20 February 2018.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Meat Industry Ireland,"Discussion between the Department of Agriculture, Food and the Marine and representatives from Meat Industry Ireland on 20 February 2018.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Meat Industry Ireland,"Discussion between the Department of Agriculture, Food and the Marine and representatives from Meat Industry Ireland on 20 February 2018.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Meat Industry Ireland,"Discussion between the Department of Agriculture, Food and the Marine and representatives from Meat Industry Ireland on 20 February 2018.",Collaboration,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Creamery Milk Suppliers Association,"The Department of Agriculture, Food and the Marine highlights the export output of key agri-food sectors, including dairy, in relation to the Irish Creamery and Milk Supplier Association's evidence to the Committee.",Reports,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Creamery Milk Suppliers Association,"The Department of Agriculture, Food and the Marine highlights the export output of key agri-food sectors, including dairy, in relation to the Irish Creamery and Milk Supplier Association's evidence to the Committee.",Reports,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Creamery Milk Suppliers Association,"The Department of Agriculture, Food and the Marine highlights the export output of key agri-food sectors, including dairy, in relation to the Irish Creamery and Milk Supplier Association's evidence to the Committee.",Reports,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Creamery Milk Suppliers Association,"The Department of Agriculture, Food and the Marine highlights the export output of key agri-food sectors, including dairy, in relation to the Irish Creamery and Milk Supplier Association's evidence to the Committee.",Reports,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Joint Committee On Foreign Affairs And Trade, And Defence",Irish Aid Programme,"The Joint Committee on Foreign Affairs and Trade, and Defence emphasized the need for policy coherence in its Review of the Irish Aid Programme, acknowledging the role of Irish producers in humanitarian initiatives.",Aims,Dail Eireann,Department Of Foreign Affairs
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Environmental Protection Agency,Farming Community,"The EPA reports on the economic challenges faced by Ireland's farming community, noting that only one-third of the largest farms are economically viable.",Reports,State Agencies ,Small Producers
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Creamery Milk Suppliers Association,"The Department of Agriculture, Food and the Marine highlights the economic challenges and export values of key agri-food sectors, including dairy, in relation to the Irish Creamery and Milk Supplier Association's evidence to the committee.",Reports,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Creamery Milk Suppliers Association,"The Department of Agriculture, Food and the Marine highlights the economic challenges and export values of key agri-food sectors, including dairy, in relation to the Irish Creamery and Milk Supplier Association's evidence to the committee.",Reports,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Creamery Milk Suppliers Association,"The Department of Agriculture, Food and the Marine highlights the economic challenges and export values of key agri-food sectors, including dairy, in relation to the Irish Creamery and Milk Supplier Association's evidence to the committee.",Reports,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Irish Creamery Milk Suppliers Association,"The Department of Agriculture, Food and the Marine highlights the economic challenges and export values of key agri-food sectors, including dairy, in relation to the Irish Creamery and Milk Supplier Association's evidence to the committee.",Reports,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Joint Committee On Foreign Affairs And Trade, And Defence",Irish Aid Programme,"The Joint Committee on Foreign Affairs and Trade emphasized the need for policy coherence in its review of the Irish Aid Programme, acknowledging the role of Irish producers in humanitarian initiatives.",Aims,Dail Eireann,Department Of Foreign Affairs
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Environmental Protection Agency,Farming Community,"The EPA reports on the economic challenges faced by Ireland's farming community, noting that only one-third of the largest farms are economically viable.",Reports,State Agencies ,Small Producers
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Joint Committee On Foreign Affairs And Trade, And Defence",Irish Aid Programme,"The Joint Committee on Foreign Affairs and Trade, and Defence emphasized the need for policy coherence in its Review of the Irish Aid Programme, acknowledging the role of Irish producers in humanitarian initiatives.",Aims,Dail Eireann,Department Of Foreign Affairs
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Irish Co-Operative Organisation Society,Irish Dairy Sector,The Irish Cooperative Organisation Society emphasizes the importance of soil fertility and sustainable practices in the Irish dairy sector to reduce greenhouse gas emissions.,Supports,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Irish Co-Operative Organisation Society,Irish Dairy Sector,"The Irish Cooperative Organisation Society highlights the importance of soil fertility and sustainable practices in the Irish dairy sector, advocating for reduced greenhouse gas emissions through improved fertiliser use.",Advocates,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Irish Farmers' Association,Smart Farming Initiative,The Irish Farmersâ€™ Association is leading the Smart Farming initiative in collaboration with the Environmental Protection Agency to improve farm incomes and address environmental challenges.,Collaboration,Trade Association,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Environmental Protection Agency,Smart Farming Initiative,The Irish Farmersâ€™ Association is leading the Smart Farming initiative in collaboration with the Environmental Protection Agency to improve farm incomes and soil fertility.,Collaboration,State Agencies ,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,National Farm Survey,"Teagasc is referenced in relation to the National Farm Survey, providing data on soil fertility and farming practices.",Reports,Semi-State Agency,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,National Farm Survey,"Teagasc is referenced in relation to the National Farm Survey, providing data on soil fertility and farming practices.",Reports,Semi-State Agency,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Irish Farmers' Association,Smart Farming Initiative,The Irish Farmersâ€™ Association is leading the Smart Farming initiative in collaboration with the Environmental Protection Agency to improve farm incomes and address environmental challenges.,Collaboration,Trade Association,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Environmental Protection Agency,Smart Farming Initiative,The Irish Farmersâ€™ Association leads the Smart Farming initiative in collaboration with the Environmental Protection Agency to improve farm incomes and soil fertility.,Collaboration,State Agencies ,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,National Farm Survey,"Teagasc is referenced in relation to the National Farm Survey, indicating its involvement in agricultural assessments.",Reports,Semi-State Agency,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,National Farm Survey,"Teagasc is referenced in relation to the National Farm Survey, indicating its involvement in agricultural assessments.",Reports,Semi-State Agency,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Science Foundation Ireland,Beacon Centre,"Science Foundation Ireland was recognized for its research at the BEACON centre, particularly in bioeconomy and environmental sustainability.",Supports,Research And Regulatory,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Science Foundation Ireland,Futuremilk Centre,Science Foundation Ireland described its FutureMilk Centre as a key initiative for advancing research in the Irish dairy industry.,Aims,Research And Regulatory,Research And Regulatory
