Speaker,Topic Thoughts,Sentiment,Labels,Category
Mr. Bill Callanan,The speaker believes that nitrates regulations are strict and that dry manure should not be applied during the closed period.,Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Brendan Gleeson,The speaker supports regulation through nitrates control as part of climate change policy.,Support,"Secretary General, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Brendan Gleeson,The speaker emphasizes the need to assist intensive farmers in protecting watercourses and farming sustainably.,Support,"Secretary General, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Ms Noreen Gumbo,The speaker emphasizes the need to reduce global emissions to protect food security in the context of climate change.,Support,"Head of Programmes and Technical Services for Europe, Heifer International, NGO",NGO
Mr. Michael Ewing,The speaker expresses concern that current farming practices negatively impact water quality in Ireland.,Oppose,"Coordinator, Environmental Pillar, NGO",NGO
Mr. Conor Mulvihill,The speaker emphasizes the importance of water quality management as a key goal for sustainable dairy practices.,Support,"Director, Dairy Industry Ireland (DII), Trade Association",Trade Association
Mr. Conor Mulvihill,The speaker emphasizes the importance of water quality management in dairy farming practices.,Support,"Director, Dairy Industry Ireland (DII), Trade Association",Trade Association
Mr. Conor Mulvihill,The speaker emphasizes the importance of addressing water management as a foundational aspect of sustainability efforts in agriculture.,Support,"Director, Dairy Industry Ireland (DII), Trade Association",Trade Association
Mr. Conor Mulvihill,The speaker emphasizes the importance of addressing water quality issues as a foundational step for broader sustainability efforts.,Support,"Director, Dairy Industry Ireland (DII), Trade Association",Trade Association
Ms Gillian Westbrook,The speaker acknowledges the role of carbon emissions in climate change but emphasizes the need for a broader perspective on agricultural impacts.,Neutral,"CEO, Irish Organic Association (IOA), Trade Association",Trade Association
Ms Gillian Westbrook,The speaker emphasizes the need to consider indirect emissions linked to agriculture and food systems in addressing carbon emissions.,Neutral,"CEO, Irish Organic Association (IOA), Trade Association",Trade Association
Mr. John McHugh,The speaker believes that the approach to carbon emissions in agriculture is overly simplistic and fails to consider broader environmental impacts.,Neutral,"Managing Director, Marine Harvest Ireland, Processors",Processors
Mr. John McHugh,The speaker believes that the current focus on CO2 emissions per kilo of food is a narrow approach that overlooks other critical environmental issues.,Oppose,"Managing Director, Marine Harvest Ireland, Processors",Processors
Mr. John McHugh,The speaker believes that aligning agricultural practices with carbon sequestration is essential for addressing climate change.,Support,"Managing Director, Marine Harvest Ireland, Processors",Processors
Mr. John McHugh,The speaker believes that carbon sequestration through diverse pastures is vastly underestimated and essential for addressing climate change.,Support,"Managing Director, Marine Harvest Ireland, Processors",Processors
Mr. Conor Mulvihill,"The speaker acknowledges the importance of water quality and its decline, emphasizing the need for improvement.",Support,"Director, Dairy Industry Ireland (DII), Trade Association",Trade Association
Mr. Conor Mulvihill,The speaker acknowledges the importance of water quality and its decline in the industry.,Neutral,"Director, Dairy Industry Ireland (DII), Trade Association",Trade Association
Mr. John Spink,The speaker acknowledges the significant amount of carbon stored in Irish soils and the complexities of land use changes impacting carbon emissions.,Neutral,"Head of Environment, Crops and Land Use Department, Teagasc The Agriculture and Food Development Authority, Semi State agency",Semi State agency
Mr. Bill Callanan,The speaker acknowledges that the agriculture sector produces emissions but emphasizes its potential role in transitioning to a low carbon economy.,Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Bill Callanan,The speaker acknowledges that agriculture produces emissions but emphasizes its potential role in transitioning to a low carbon economy.,Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Bill Callanan,"The speaker emphasizes that slurry must be considered a fertilizer and highlights the need for careful management to reduce nutrient loss, particularly during winter application.",Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Bill Callanan,"The speaker emphasizes the need for careful management of slurry as a fertilizer, particularly avoiding winter application to reduce nutrient loss.",Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Senator Paul Daly,The speaker emphasizes that certain farming practices negatively impact water quality.,Oppose,"Senator, Fianna Fáil, Westmeath",Political Party
Senator Paul Daly,The speaker emphasizes that certain farming practices negatively impact water quality.,Oppose,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Senator Paul Daly,The speaker believes that forcing people to put waste on saturated land is contributing to the decline in water quality.,Oppose,"Senator, Fianna Fáil, Westmeath",Political Party
Senator Paul Daly,The speaker believes that forcing people to put waste on saturated land is contributing to the decline in water quality.,Oppose,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Mr. Bill Callanan,The speaker emphasizes the need for compliance with nutrient loading regulations and appropriate application of slurry to match crop needs.,Support,"Chief Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Dr. Eamon Haughey,The increase in nitrogen use is unsustainable due to its negative impact on water quality and emissions.,Oppose,"European Director, Soil Health Institute, Research and Regulatory",Research and Regulatory
Deputy Eamon Ryan,The speaker advocates for better water quality as part of necessary reforms in agriculture.,Support,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport, Green Party, Dublin Bay South",Political Party
Deputy Eamon Ryan,The speaker advocates for better water quality as part of necessary reforms in agriculture.,Support,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications, Green Party, Department of Environment, Climate and Communications",Political Party
Mr. Kevin Kinsella,The speaker highlights the proactive efforts of Irish farmers in conducting carbon assessments to address climate change.,Support,"Director of Livestock , Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. Kevin Kinsella,The speaker emphasizes the significant efforts of Irish farmers in conducting carbon assessments to address climate change.,Support,"Director of Livestock , Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. Stephen Treacy,The speaker acknowledges the inclusion of water table management measures in the climate action plan for agricultural land.,Support,"CEO, Irish Bioenergy Association (IrBEA), Trade Association",Trade Association
Ms Sharon Finegan,Nitrogen losses to water are the key issue driving the deterioration of water quality.,Neutral,"Senior Superintending Veterinary Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Ms Sharon Finegan,"Nitrogen losses to water are the key issue driving the deterioration of water quality, particularly from agricultural practices.",Neutral,"Senior Superintending Veterinary Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Ms Sharon Finegan,"Nitrogen losses to water are a significant concern, with only 38% of estuaries meeting water quality targets.",Neutral,"Senior Superintending Veterinary Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Stephen Treacy,"The speaker suggests that managing the water table on organic soils could substantially reduce emissions, but acknowledges the challenges and uncertainties involved.",Neutral,"CEO, Irish Bioenergy Association (IrBEA), Trade Association",Trade Association
Professor Alan Matthews,The speaker emphasizes the need for sectoral targets for agriculture to address carbon emissions effectively.,Neutral,"Professor Emeritus of European Agricultural Policy, Trinity College Dublin, Research and Regulatory",Research and Regulatory
Ms Sadhbh ’Neill,The speaker emphasizes the need for careful consideration of the nitrates directive to improve water quality and acknowledges the negative impact of intensive dairy farming on water pollution.,Neutral,"Policy Coordinator , Stop Climate Chaos Coalition, NGO",NGO
Ms Sadhbh ’Neill,"The speaker emphasizes the need for careful consideration of the nitrates directive to improve water quality, acknowledging current failures in achieving this goal.",Neutral,"Policy Coordinator , Stop Climate Chaos Coalition, NGO",NGO
Professor Alan Matthews,The speaker supports putting a price on carbon emissions to incentivize change in agriculture.,Support,"Professor Emeritus of European Agricultural Policy, Trinity College Dublin, Research and Regulatory",Research and Regulatory
Professor Alan Matthews,"Agricultural emissions in the EU have been stable, but there is a need to reduce methane to meet future targets.",Neutral,"Professor Emeritus of European Agricultural Policy, Trinity College Dublin, Research and Regulatory",Research and Regulatory
Ms Sadhbh ’Neill,The speaker expresses caution regarding carbon offsetting and emphasizes the need for rigorous measurement and verification in carbon farming.,Neutral,"Policy Coordinator , Stop Climate Chaos Coalition, NGO",NGO
Mr. Tim Cullinan,The speaker believes that current measures regarding emissions are misguided and lacks benefits.,Oppose,"President, Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. Henry ’Donnell,"The speaker is concerned that new nitrates regulations could negatively impact the management of cattle on uplands, which is essential for biodiversity and fire load removal.",Oppose,"Chairman, Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. Henry ’Donnell,The speaker believes that regulations regarding nitrates should be tailored to different farming systems to avoid harming livelihoods.,Support,"Chairman, Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. Henry ’Donnell,The speaker is concerned that broad regulations on nitrates may harm farmers' livelihoods and believes that different farming systems require tailored regulations.,Oppose,"Chairman, Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. Tim Cullinan,The speaker acknowledges the importance of water quality and supports farmers in efforts to improve it.,Support,"President, Irish Farmers' Association (IFA), Trade Association",Trade Association
Mr. Tim Cullinan,The speaker acknowledges concerns about water quality and emphasizes the importance of monitoring and transparency regarding its impact on farming.,Neutral,"President, Irish Farmers' Association (IFA), Trade Association",Trade Association
Senator Tim Lombard,The speaker acknowledges the importance of low-emission spreading as a beneficial tool for farmers but highlights the need for adequate infrastructure to support it.,Neutral,"Senator, Fine Gael, Cork",Political Party
Senator Tim Lombard,The speaker acknowledges the importance of low-emission spreading as a beneficial tool for farmers but highlights the need for adequate infrastructure to support it.,Support,"Senator, Fine Gael, Cork",Political Party
Senator Tim Lombard,The speaker acknowledges the importance of low-emission spreading but highlights the need for adequate infrastructure to implement it effectively.,Neutral,"Senator, Fine Gael, Cork",Political Party
Mr. Tim Cullinan,The speaker acknowledges the existing system for dealing with soiled water and emphasizes the need for grant aid and low-interest loans for increased storage.,Support,"President, Irish Farmers' Association (IFA), Trade Association",Trade Association
Dr. Eimear Cotter,"The speaker emphasizes the need for improved water quality and highlights the pressure from human activities, particularly agriculture.",Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker emphasizes the need for improved water quality and acknowledges that agriculture significantly impacts it.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker emphasizes the need for improved water quality and highlights the significant pressure from agriculture on water resources.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"The speaker emphasizes the need for improved water quality and highlights the pressures from human activities, particularly agriculture.",Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"Agriculture significantly impacts approximately 1,000 water bodies, making it the most significant pressure on water resources.",Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"Agriculture significantly impacts water bodies, making it the most significant pressure affecting water quality.",Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"Agriculture significantly impacts approximately 1,000 water bodies in the country, making it the most significant pressure on water resources.",Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"Agriculture significantly impacts water quality, affecting about 1,000 bodies of water.",Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"Agriculture has a significant impact on water quality, affecting about 1,000 bodies of water.",Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The agriculture sector significantly impacts nutrient levels in water bodies through nitrogen and phosphorus run-off.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"The agriculture sector significantly impacts water quality through nutrient run-off, particularly nitrogen and phosphorus.",Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The agriculture sector significantly impacts water quality through nutrient levels and run-off of nitrogen and phosphorus.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The agriculture sector significantly impacts water quality through nutrient run-off.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker acknowledges the importance of water quality in meeting environmental objectives and recognizes varying pressures on water bodies.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker acknowledges the variation in water quality and its relation to environmental objectives.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker expresses confidence in the effectiveness and representativeness of the EPA's water quality monitoring programme.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"The monitoring network effectively identifies main pressures on water quality, including agriculture and inadequately treated wastewater.",Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"The monitoring network effectively identifies the main pressures on water quality, including those from agriculture.",Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker supports measures that reduce emissions and improve water quality as beneficial for the environment.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"The speaker supports measures that reduce emissions and improve water quality, viewing them as beneficial for both the environment and cost-effectiveness.",Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"The speaker advocates for measures that reduce emissions and nutrient release into water bodies, emphasizing the environmental benefits of low-emission slurry spreading.",Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Deputy Matt Carthy,"The speaker emphasizes the importance of protecting watercourses and acknowledges the EPA's concerns regarding nitrates, phosphorus, and pesticides affecting water quality.",Support,"Member of the European Parliament, Deputy (TD), Sinn Féin, Monaghan",Political Party
Deputy Matt Carthy,"The speaker emphasizes the importance of protecting watercourses and acknowledges concerns regarding nitrates, phosphorus, and pesticides in relation to water quality.",Support,"Member of the European Parliament, Deputy (TD), Sinn Féin, Monaghan",Political Party
Dr. Eimear Cotter,"The speaker expresses concern that nitrates contribute to eutrophication, leading to harmful algal blooms and negatively impacting ecological health in water bodies.",Oppose,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"The speaker expresses concern that nitrates contribute to eutrophication, leading to ecological harm in water bodies.",Oppose,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"The speaker views nitrates as a contributing factor to eutrophication, leading to ecological harm in water bodies.",Oppose,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"The speaker expresses concern that nitrates contribute to eutrophication, leading to harmful algal blooms and negatively impacting water ecological health.",Oppose,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Jenny Deakin,"The speaker expresses a positive stance on water quality in Ireland, noting that there are not many sources exceeding drinking water standards.",Support,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Jenny Deakin,No position expressed on rivers.,Neutral,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Eimear Cotter,"The speaker emphasizes that nitrates pollution is a significant issue affecting various regions and must be addressed by all farmers, not just intensive ones.",Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker supports the implementation of the fifth nitrates action programme to address increasing nutrient levels and improve water quality.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker advocates for the full implementation of the fifth nitrates action programme to address increasing nutrient levels and improve water quality.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,"The speaker advocates for measures that address multiple environmental issues simultaneously, including emissions.",Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Senator Tim Lombard,The speaker expresses concern about the impact of defective infrastructure on water bodies and seeks a program to address these issues.,Support,"Senator, Fine Gael, Cork",Political Party
Dr. Eimear Cotter,The speaker emphasizes the need for improved investment and resources to address delays in urban water discharge management.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker emphasizes the need for timely investment and improved infrastructure to address delays in urban water discharges.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Senator Tim Lombard,The speaker supports the EPA's actions in addressing water issues and advocates for the increased use of the section 63 process to manage water bodies effectively.,Support,"Senator, Fine Gael, Cork",Political Party
Senator Tim Lombard,The speaker supports the EPA's actions in addressing water issues and advocates for more frequent use of the section 63 process.,Support,"Senator, Fine Gael, Cork",Political Party
Senator Tim Lombard,The speaker believes the EPA should take more action regarding the management of water bodies and supports the effective use of the section 63 process.,Support,"Senator, Fine Gael, Cork",Political Party
Senator Tim Lombard,The speaker believes the EPA should take appropriate actions regarding water management and utilize the section 63 process more frequently.,Support,"Senator, Fine Gael, Cork",Political Party
Dr. Eimear Cotter,"The speaker expresses concern about the current state of water bodies, indicating that half are unsatisfactory and that meeting future objectives will be extremely challenging.",Oppose,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker emphasizes the need for increased enforcement and focus on compliance with water quality legislation by local authorities.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker expresses a need for increased enforcement and focus on compliance with water quality legislation by local authorities.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker emphasizes the need for increased enforcement and focus on compliance with water quality legislation.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker expresses concern about compliance issues in water quality legislation and emphasizes the need for increased enforcement actions by local authorities.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Jenny Deakin,The speaker acknowledges the need to assess the impact of nitrates from derogation farms on water quality.,Neutral,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Jenny Deakin,The speaker acknowledges the need to assess the impact of derogation farms on water quality in relation to nitrates.,Neutral,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Eimear Cotter,The speaker acknowledges recent improvements in water bodies due to prioritized actions in river basin management but emphasizes the need for more information to understand the driving factors behind these changes.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Deputy Joe Flaherty,The speaker believes that the nitrates issue is not solely a farming problem and highlights the significant contributions from urban wastewater and industry.,Neutral,"Deputy (TD), Fianna Fáil, Longford Westmeath",Political Party
Dr. Eimear Cotter,The agriculture sector is the most significant pressure on water quality in the country.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The agriculture sector is a significant pressure on water quality in the country.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Deputy Joe Flaherty,"The speaker disputes the claim that agriculture is the greatest threat to water sources, emphasizing that not all farmers contribute to this issue.",Neutral,"Deputy (TD), Fianna Fáil, Longford Westmeath",Political Party
Dr. Eimear Cotter,Agriculture is identified as the most significant pressure on water quality in Ireland.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,Agriculture is the most significant pressure on water quality in Ireland according to the data and evidence.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker expresses concern about delays in wastewater treatment infrastructure and emphasizes the need for compliance with environmental legislation.,Neutral,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Jenny Deakin,"The speaker indicates that nutrient concentrations in water improved until around 2011-2013, but have since begun to rise again.",Neutral,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Jenny Deakin,The nutrient concentrations in water have improved since the 1990s but have been rising again since around 2013.,Neutral,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Jenny Deakin,The speaker indicates that water quality has improved over the years but has recently begun to decline again.,Neutral,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Jenny Deakin,"The nutrient concentrations in water improved until around 2011-2013, but have since been rising again.",Neutral,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Jenny Deakin,The speaker indicates that water quality has improved over the years but has recently started to decline again.,Oppose,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Eimear Cotter,The speaker highlights increasing nitrate levels in rivers and emphasizes the need for compliance with existing regulations to address this issue.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker highlights increasing trends in nitrate levels in rivers and emphasizes the need for compliance with existing regulations to address this issue.,Support,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Jenny Deakin,"The speaker acknowledges the impact of urban run-off on water bodies, particularly from roads.",Neutral,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Dr. Jenny Deakin,"The speaker acknowledges the impact of urban run-off on water bodies, particularly from roads, and highlights ongoing research to manage this issue.",Neutral,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Deputy Michael Collins,"The speaker believes that the quality of water is compromised due to outdated wastewater plants and insufficient action against local authorities, rather than solely blaming farmers.",Oppose,"Deputy (TD), Dail Eireann (Lower House of the Irish Parliament)",Dail Eireann
Deputy Michael Collins,"The speaker believes that the quality of water is compromised due to outdated wastewater plants and insufficient action against local authorities, rather than farmers.",Oppose,"Deputy (TD), Dail Eireann (Lower House of the Irish Parliament)",Dail Eireann
Deputy Michael Collins,"The speaker believes that the quality of water is severely compromised by outdated wastewater plants and insufficient action from authorities, rather than by farmers.",Oppose,"Deputy (TD), Dail Eireann (Lower House of the Irish Parliament)",Dail Eireann
Dr. Eimear Cotter,"The speaker expresses a strong concern about the discharge of raw sewage from towns and villages, emphasizing its serious implications for public health and the environment.",Oppose,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker expresses serious concern about the release of raw sewage as a public health issue.,Oppose,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Eimear Cotter,The speaker expresses concern about the release of raw sewage as a serious public health issue.,Oppose,"Director of Low Carbon Technologies, Sustainable Energy Authority of Ireland (SEAI), Semi State agency ",Semi State agency 
Dr. Jenny Deakin,The speaker acknowledges the importance of protecting drinking water sources and recognizes the exemplary work being done by the group water scheme sector in this area.,Support,"Manager of the Catchment Science and Management Unit, Environmental Protection Agency (EPA), State Agencies ",State Agencies 
Mr. Jack Nolan,The Department is committed to developing a revised nitrates action programme to improve water quality and minimize environmental impact.,Support,"Senior Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Jack Nolan,The speaker supports a revised nitrates action programme aimed at improving water quality and minimizing environmental impact from agriculture.,Support,"Senior Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Jack Nolan,"The speaker supports measures to prevent agricultural pollution and improve water quality, acknowledging the need for additional actions due to declining water quality.",Support,"Senior Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
Mr. Jack Nolan,"The speaker supports measures to prevent agricultural pollution and improve water quality, acknowledging that current water quality is declining.",Support,"Senior Inspector, Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
